Uncertainty Type,GED,,sUIRO,,sJUEO,,sUEO_r1,,sUEO_r2,,s_ed_UIRO,,deep_sUIRO,,pv_sUIRO,,deep_sJUEO,,pv_sJUEO,,mean_ind_mean_uncert,,all_mean_size_FP_uncertainty_ccs_all_t0.20,
Ens,0.50,0.02,0.23,0.01,0.37,0.01,0.37,0.01,0.40,0.00,0.18,0.01,0.18,0.01,0.29,0.01,0.26,0.01,0.45,0.01,0.18,0.01,13.55,0.96
Ind,0.90,0.05,0.22,0.01,0.43,0.00,0.43,0.01,0.41,0.01,0.14,0.02,0.17,0.01,0.26,0.01,0.39,0.02,0.45,0.01,0.13,0.01,6.06,0.44
MC-Drop,0.71,0.04,0.21,0.03,0.38,0.01,0.38,0.01,0.38,0.01,0.15,0.00,0.16,0.02,0.25,0.04,0.31,0.03,0.42,0.01,0.12,0.03,8.75,0.68
P-Unet,0.90,0.07,0.21,0.01,0.42,0.02,0.42,0.02,0.39,0.02,0.12,0.01,0.17,0.01,0.24,0.02,0.39,0.02,0.43,0.02,0.12,0.02,5.54,0.25
SSN,0.63,0.04,0.22,0.02,0.42,0.01,0.42,0.01,0.42,0.01,0.14,0.01,0.18,0.01,0.26,0.02,0.36,0.02,0.46,0.01,0.15,0.02,7.19,0.74
SSN-Ens,0.48,0.02,0.25,0.00,0.40,0.01,0.40,0.01,0.42,0.00,0.20,0.01,0.21,0.01,0.29,0.01,0.30,0.01,0.45,0.00,0.17,0.02,10.54,0.43
