Uncertainty Type,GED,,sUIRO,,sJUEO,,sUEO_r1,,sUEO_r2,,s_ed_UIRO,,deep_sUIRO,,pv_sUIRO,,deep_sJUEO,,pv_sJUEO,,mean_ind_mean_uncert,,all_mean_size_FP_uncertainty_ccs_all_t0.20,
Ens,0.44,0.00,0.29,0.00,0.43,0.00,0.44,0.00,0.44,0.00,0.13,0.01,0.19,0.00,0.32,0.00,0.32,0.00,0.47,0.00,0.29,0.00,11.73,0.45
Ind,0.78,0.03,0.30,0.00,0.46,0.01,0.45,0.00,0.46,0.00,0.10,0.01,0.21,0.01,0.33,0.01,0.36,0.01,0.49,0.01,0.25,0.01,8.72,4.47
MC-Drop,0.59,0.02,0.28,0.01,0.45,0.01,0.44,0.00,0.45,0.00,0.12,0.01,0.18,0.01,0.31,0.01,0.34,0.01,0.49,0.01,0.25,0.01,8.59,0.76
P-Unet,0.77,0.04,0.30,0.01,0.48,0.02,0.47,0.02,0.48,0.02,0.10,0.01,0.23,0.01,0.32,0.01,0.39,0.02,0.51,0.01,0.25,0.01,5.37,0.27
SSN,0.57,0.03,0.29,0.01,0.45,0.01,0.45,0.01,0.45,0.01,0.11,0.02,0.21,0.01,0.32,0.01,0.36,0.02,0.48,0.01,0.26,0.01,6.79,0.57
SSN-Ens,0.45,0.01,0.31,0.00,0.45,0.00,0.45,0.00,0.46,0.00,0.14,0.01,0.23,0.01,0.33,0.00,0.35,0.01,0.47,0.00,0.29,0.01,10.18,0.44
