,dice,hd95,avd,recall,f1,rmse,model_name
0,0.53471196,5.118446,52.183407,0.47619048,0.5839416,0.38207716,evid_combo_kl1
1,0.8741149,1.4142135,5.3824954,0.74,0.7706375,0.3853226,evid_combo_kl1
2,0.63090056,6.7007084,35.31268,0.6785714,0.72296983,0.3827832,evid_combo_kl1
3,0.56563336,7.8740077,49.654774,0.39583334,0.5269333,0.38174766,evid_combo_kl1
4,0.91381985,1.0,3.3280623,0.75,0.7826087,0.38559937,evid_combo_kl1
5,0.47687224,5.565657,52.357723,0.36734694,0.4894932,0.38143072,evid_combo_kl1
6,0.6653809,4.1231055,38.59922,0.3030303,0.39783,0.38127944,evid_combo_kl1
7,0.54634786,11.678991,42.790936,0.35897437,0.50699586,0.38161725,evid_combo_kl1
8,0.6137249,3.6123567,22.026667,0.7125,0.7669916,0.38169718,evid_combo_kl1
9,0.40042487,12.0415945,64.434845,0.29166666,0.42970297,0.38149238,evid_combo_kl1
10,0.6236111,1.4142135,9.523809,0.78571427,0.77506775,0.38105947,evid_combo_kl1
11,0.73668414,11.0,6.109091,0.75,0.5181818,0.38133156,evid_combo_kl1
12,0.7968977,1.7320508,18.344585,0.53846157,0.65983605,0.3818646,evid_combo_kl1
13,0.9196967,1.0,5.954842,0.6086956,0.6786091,0.38678807,evid_combo_kl1
14,0.8685721,1.4142135,14.95024,0.6956522,0.74118835,0.3825856,evid_combo_kl1
15,0.80364484,3.3166249,21.808342,0.6923077,0.7078652,0.38157788,evid_combo_kl1
16,0.7579443,1.4142135,9.776119,0.625,0.6532663,0.3811475,evid_combo_kl1
17,0.76984817,2.236068,18.63924,0.61538464,0.68711656,0.38185146,evid_combo_kl1
18,0.81365854,1.4142135,7.1495767,0.8292683,0.806904,0.38267827,evid_combo_kl1
19,0.7568389,3.0,19.044346,0.627907,0.72039205,0.38245553,evid_combo_kl1
20,0.77382,2.4494898,18.876942,0.38679245,0.5311569,0.38278842,evid_combo_kl1
21,0.7394167,2.714746,3.995083,0.44444445,0.47058824,0.38124335,evid_combo_kl1
22,0.827775,1.4142135,9.978719,0.76785713,0.7759982,0.38267198,evid_combo_kl1
23,0.6746167,2.236068,7.9102716,0.60714287,0.6181818,0.38105762,evid_combo_kl1
24,0.808813,3.1622777,13.05153,0.5,0.5192308,0.38408607,evid_combo_kl1
25,0.69134456,3.6055512,21.693764,0.275,0.3965287,0.38214952,evid_combo_kl1
26,0.8218467,3.1622777,10.117498,0.24025974,0.36857438,0.38410306,evid_combo_kl1
27,0.8658565,1.4142135,3.3654447,0.70652175,0.78115475,0.38532072,evid_combo_kl1
28,0.85273695,1.4142135,6.34123,0.64634144,0.6958717,0.3849498,evid_combo_kl1
29,0.7677812,4.1231055,21.78157,0.20731707,0.31472376,0.38439256,evid_combo_kl1
30,0.79348534,2.0,10.142239,0.45045045,0.5962446,0.3837803,evid_combo_kl1
31,0.37159204,10.020238,55.63654,0.20833333,0.3153745,0.38168973,evid_combo_kl1
32,0.75605434,1.7320508,19.893618,0.8181818,0.6923077,0.38091317,evid_combo_kl1
33,0.7979266,2.0,5.3137813,0.6363636,0.50359714,0.38252893,evid_combo_kl1
34,0.61728394,6.4031243,20.0,0.37096775,0.51954824,0.38129967,evid_combo_kl1
