,dice,hd95,avd,recall,f1,rmse,model_name
0,0.68872714,5.757521,2.0524018,0.63492066,0.6073584,0.38209122,evid_mlecombo_kl0.5
1,0.8788444,1.4142135,1.9917833,0.76,0.7324871,0.38491812,evid_mlecombo_kl0.5
2,0.61381865,3.3166249,13.998853,0.8035714,0.7612021,0.38284978,evid_mlecombo_kl0.5
3,0.65893006,2.236068,3.2796319,0.7916667,0.7161862,0.38181183,evid_mlecombo_kl0.5
4,0.9205438,1.0,1.4489022,0.8,0.754717,0.38515675,evid_mlecombo_kl0.5
5,0.6008156,3.6055512,20.569105,0.42857143,0.5217391,0.38133317,evid_mlecombo_kl0.5
6,0.7201296,3.0,7.8599224,0.33333334,0.33333334,0.3812148,evid_mlecombo_kl0.5
7,0.5249257,9.909571,44.026775,0.41880342,0.5617711,0.38150936,evid_mlecombo_kl0.5
8,0.66120505,1.4142135,1.8133334,0.85,0.8242424,0.38158596,evid_mlecombo_kl0.5
9,0.4767658,10.0,45.068394,0.31944445,0.43648607,0.38143873,evid_mlecombo_kl0.5
10,0.63874346,1.4142135,2.1164021,0.5714286,0.5925926,0.38090998,evid_mlecombo_kl0.5
11,0.74572796,12.107579,12.8,0.8333333,0.48257372,0.38119563,evid_mlecombo_kl0.5
12,0.80435467,1.4142135,13.971235,0.53846157,0.59962755,0.381658,evid_mlecombo_kl0.5
13,0.92676705,1.0,0.08859774,0.65217394,0.6807131,0.38620102,evid_mlecombo_kl0.5
14,0.8871768,1.0,8.419993,0.73913044,0.71238095,0.38226208,evid_mlecombo_kl0.5
15,0.81557655,3.1622777,11.142948,0.6923077,0.62608695,0.3814195,evid_mlecombo_kl0.5
16,0.76849467,1.4142135,2.761194,0.625,0.5194805,0.38102874,evid_mlecombo_kl0.5
17,0.7825409,1.4142135,3.006329,0.7692308,0.7645875,0.38180068,evid_mlecombo_kl0.5
18,0.8115537,1.4142135,1.9285042,0.8292683,0.7014975,0.38265756,evid_mlecombo_kl0.5
19,0.7706634,1.4142135,6.1876936,0.6744186,0.66566867,0.38240156,evid_mlecombo_kl0.5
20,0.7995813,2.0,9.770344,0.43396226,0.5498008,0.3825751,evid_mlecombo_kl0.5
21,0.7430998,7.4954863,2.642901,0.5555556,0.5882353,0.3810981,evid_mlecombo_kl0.5
22,0.83838385,1.0,5.6987467,0.83928573,0.81519717,0.38236895,evid_mlecombo_kl0.5
23,0.70601094,8.246211,16.056671,0.71428573,0.5970149,0.38092545,evid_mlecombo_kl0.5
24,0.813529,2.236068,16.15137,0.5625,0.5538462,0.3837889,evid_mlecombo_kl0.5
25,0.72491753,2.236068,1.4316913,0.35,0.4510533,0.38211316,evid_mlecombo_kl0.5
26,0.84207916,2.0,1.4282699,0.34415585,0.4737709,0.3838628,evid_mlecombo_kl0.5
27,0.87340415,1.0,1.7223403,0.8152174,0.827864,0.3847787,evid_mlecombo_kl0.5
28,0.8595776,1.0,5.1208425,0.68292683,0.71489364,0.3845929,evid_mlecombo_kl0.5
29,0.78344625,4.0738635,13.617747,0.24390244,0.34751347,0.38422954,evid_mlecombo_kl0.5
30,0.80843604,1.4142135,8.560827,0.5405405,0.65515715,0.38344947,evid_mlecombo_kl0.5
31,0.44960752,8.5205145,45.238094,0.29166666,0.39341086,0.3815288,evid_mlecombo_kl0.5
32,0.7493513,10.601734,5.0,0.8181818,0.44720498,0.38085058,evid_mlecombo_kl0.5
33,0.8171048,1.4142135,5.6764426,0.77272725,0.5862069,0.3821194,evid_mlecombo_kl0.5
34,0.69004303,2.236068,16.702509,0.5483871,0.62925375,0.381225,evid_mlecombo_kl0.5
