,dice,hd95,avd,recall,f1,rmse,model_name
0,0.65504867,4.1231055,29.606987,0.47619048,0.56478405,0.3818272,evid_combo_k0.1_anneal_short
1,0.883701,1.4142135,5.751729,0.78,0.75046057,0.38452107,evid_combo_k0.1_anneal_short
2,0.6278337,4.460812,17.785427,0.75,0.7706422,0.38261122,evid_combo_k0.1_anneal_short
3,0.6613173,5.7834377,27.905638,0.5416667,0.5941499,0.38153327,evid_combo_k0.1_anneal_short
4,0.9255829,1.0,1.0995476,0.75,0.7358491,0.38465044,evid_combo_k0.1_anneal_short
5,0.59562045,3.6055512,32.92683,0.40816328,0.51222354,0.38124683,evid_combo_k0.1_anneal_short
6,0.7237122,2.8970563,17.198444,0.36363637,0.39819005,0.38113576,evid_combo_k0.1_anneal_short
7,0.52294195,9.643651,47.37384,0.41025642,0.5577792,0.38148904,evid_combo_k0.1_anneal_short
8,0.6607093,2.0,9.013333,0.825,0.80386394,0.38143313,evid_combo_k0.1_anneal_short
9,0.40783033,12.247449,67.60259,0.30555555,0.45653394,0.38130173,evid_combo_k0.1_anneal_short
10,0.6387509,1.4142135,13.624338,0.64285713,0.6545454,0.38087863,evid_combo_k0.1_anneal_short
11,0.7319626,10.632492,5.4545455,0.8333333,0.5882353,0.3811161,evid_combo_k0.1_anneal_short
12,0.8037293,1.4142135,17.405342,0.64102566,0.7425743,0.38153648,evid_combo_k0.1_anneal_short
13,0.9237342,1.0,5.820603,0.6231884,0.6950771,0.38551503,evid_combo_k0.1_anneal_short
14,0.89148986,1.0,6.060606,0.7826087,0.7443609,0.3821157,evid_combo_k0.1_anneal_short
15,0.8107826,3.3166249,16.93728,0.7307692,0.67582864,0.38136667,evid_combo_k0.1_anneal_short
16,0.77565086,1.4142135,5.074627,0.7083333,0.5987421,0.38096845,evid_combo_k0.1_anneal_short
17,0.77218884,1.7320508,15.6645565,0.6923077,0.7128713,0.3816003,evid_combo_k0.1_anneal_short
18,0.82311124,1.4142135,10.316713,0.80487806,0.847432,0.38225767,evid_combo_k0.1_anneal_short
19,0.7761139,2.236068,11.756618,0.6744186,0.71020406,0.3821449,evid_combo_k0.1_anneal_short
20,0.8093292,2.118034,11.6022835,0.3773585,0.50209206,0.38233796,evid_combo_k0.1_anneal_short
21,0.7482694,4.2008033,4.671174,0.46666667,0.5415861,0.3810121,evid_combo_k0.1_anneal_short
22,0.8426232,1.4142135,10.156065,0.8035714,0.8166632,0.38220477,evid_combo_k0.1_anneal_short
23,0.7220874,2.6972194,5.4309325,0.60714287,0.60714287,0.38082293,evid_combo_k0.1_anneal_short
24,0.81791604,2.828427,14.814815,0.515625,0.5846457,0.38357317,evid_combo_k0.1_anneal_short
25,0.7116105,3.6055512,25.06673,0.2875,0.41172838,0.38184738,evid_combo_k0.1_anneal_short
26,0.8550297,2.236068,6.88806,0.24675325,0.37931722,0.38337886,evid_combo_k0.1_anneal_short
27,0.8766782,1.4142135,5.5548606,0.7717391,0.7995989,0.38439927,evid_combo_k0.1_anneal_short
28,0.86329615,1.4142135,6.891601,0.64634144,0.65634674,0.3841768,evid_combo_k0.1_anneal_short
29,0.784682,4.0,13.9112625,0.25609756,0.37793905,0.3840605,evid_combo_k0.1_anneal_short
30,0.813229,1.4142135,6.864564,0.5135135,0.6316883,0.3831989,evid_combo_k0.1_anneal_short
31,0.34231275,14.286039,52.08941,0.2638889,0.37268955,0.38163784,evid_combo_k0.1_anneal_short
32,0.78510636,9.947355,0.0,0.8181818,0.4881356,0.38078794,evid_combo_k0.1_anneal_short
33,0.8059581,2.0,5.219174,0.77272725,0.5964912,0.38211524,evid_combo_k0.1_anneal_short
34,0.63276833,7.8740077,22.365591,0.33870968,0.49167043,0.38106683,evid_combo_k0.1_anneal_short
