,dice,hd95,avd,recall,f1,rmse,model_name
0,0.6174789,3.7416575,39.606987,0.47619048,0.5825243,0.38186735,evid_combo_kl0.5
1,0.8834427,1.4142135,2.6574445,0.72,0.75449103,0.3847859,evid_combo_kl0.5
2,0.61218274,3.6055512,30.464716,0.78571427,0.833199,0.3826438,evid_combo_kl0.5
3,0.60674953,6.0,38.032223,0.5416667,0.6007968,0.38166425,evid_combo_kl0.5
4,0.9224484,1.0,0.17651601,0.65,0.7336861,0.3849952,evid_combo_kl0.5
5,0.54487854,6.0,46.016262,0.3877551,0.5192547,0.3812739,evid_combo_kl0.5
6,0.705777,3.0649111,26.225681,0.42424244,0.523741,0.38114265,evid_combo_kl0.5
7,0.5626016,10.049875,41.658085,0.3931624,0.530519,0.38151294,evid_combo_kl0.5
8,0.64061123,2.0,18.506666,0.8125,0.8159574,0.38149297,evid_combo_kl0.5
9,0.4436793,10.004988,53.635708,0.29166666,0.40745053,0.38139543,evid_combo_kl0.5
10,0.6359322,1.4142135,4.89418,0.78571427,0.6666667,0.38093597,evid_combo_kl0.5
11,0.75160193,11.0,7.0545454,0.7083333,0.53968257,0.38111365,evid_combo_kl0.5
12,0.78812724,1.7320508,21.015556,0.53846157,0.60754716,0.38165948,evid_combo_kl0.5
13,0.9263534,1.0,2.9613123,0.5942029,0.6981424,0.385948,evid_combo_kl0.5
14,0.8924571,1.0,4.316225,0.73913044,0.7294398,0.38220474,evid_combo_kl0.5
15,0.8254076,3.3166249,12.543776,0.6923077,0.64285713,0.38139826,evid_combo_kl0.5
16,0.75652844,1.4142135,5.671642,0.6666667,0.59770113,0.38102084,evid_combo_kl0.5
17,0.7925052,2.828427,17.594936,0.65384614,0.73138446,0.3816095,evid_combo_kl0.5
18,0.8196933,1.4142135,5.738476,0.73170733,0.7244786,0.38243547,evid_combo_kl0.5
19,0.7653741,2.4494898,16.930216,0.627907,0.70755506,0.38226098,evid_combo_kl0.5
20,0.8089843,1.4142135,0.82304525,0.43396226,0.52873564,0.38265625,evid_combo_kl0.5
21,0.7526283,3.8027756,1.2292563,0.42222223,0.54028434,0.38104686,evid_combo_kl0.5
22,0.8454567,1.0,4.303618,0.78571427,0.8024911,0.3824204,evid_combo_kl0.5
23,0.73157007,1.5572404,9.799292,0.64285713,0.6361746,0.3808724,evid_combo_kl0.5
24,0.8097332,2.828427,23.349436,0.53125,0.52125436,0.3839291,evid_combo_kl0.5
25,0.69534147,3.4641016,16.646444,0.3125,0.4532967,0.38205203,evid_combo_kl0.5
26,0.84887683,2.236068,0.14775206,0.24025974,0.3629106,0.38374037,evid_combo_kl0.5
27,0.87180346,1.4142135,0.554652,0.8043478,0.8194667,0.3848557,evid_combo_kl0.5
28,0.85978323,1.4142135,0.9332376,0.63414633,0.6352531,0.38464588,evid_combo_kl0.5
29,0.7877425,4.690416,11.774744,0.2195122,0.3270349,0.384107,evid_combo_kl0.5
30,0.80833673,2.0,5.433342,0.43243244,0.56827927,0.3834556,evid_combo_kl0.5
31,0.34201956,11.18034,50.826046,0.2777778,0.40780142,0.3816407,evid_combo_kl0.5
32,0.78515184,2.2006578,10.851064,0.8181818,0.56782335,0.38079134,evid_combo_kl0.5
33,0.7906504,3.1622777,1.7029328,0.72727275,0.48908296,0.38242546,evid_combo_kl0.5
34,0.66005343,5.477226,12.114696,0.3548387,0.49670744,0.38110155,evid_combo_kl0.5
