,dice,hd95,avd,recall,f1,rmse,model_name
0,0.40996298,10.963561,70.26201,0.3015873,0.45087802,0.38207403,evid_xent
1,0.8503736,2.0,16.277498,0.62,0.7287349,0.38518283,evid_xent
2,0.61746114,6.708204,32.099827,0.60714287,0.7119411,0.38266087,evid_xent
3,0.49075216,9.972431,60.01151,0.25,0.37209302,0.38170308,evid_xent
4,0.89310056,1.4142135,12.75696,0.5,0.6363636,0.38536176,evid_xent
5,0.36662453,11.224972,71.38211,0.3265306,0.47181267,0.38143077,evid_xent
6,0.6086514,6.4031243,47.08171,0.24242425,0.3902439,0.38127005,evid_xent
7,0.4982554,12.107748,52.420185,0.34188035,0.5008537,0.38157833,evid_xent
8,0.6058438,6.086845,21.12,0.6125,0.71639806,0.38163316,evid_xent
9,0.42088935,15.26761,60.763138,0.22222222,0.34188035,0.38143462,evid_xent
10,0.5811712,2.236068,21.560846,0.5,0.46666667,0.38100728,evid_xent
11,0.6886447,10.770329,21.309092,0.5,0.4680851,0.38128117,evid_xent
12,0.72376186,3.3166249,35.837982,0.46153846,0.6233766,0.38170862,evid_xent
13,0.90138245,1.4142135,13.950117,0.44927537,0.5974148,0.38598627,evid_xent
14,0.8636058,1.4142135,17.097172,0.6086956,0.7450111,0.3823952,evid_xent
15,0.7876889,5.0990195,27.252468,0.61538464,0.7225807,0.3814915,evid_xent
16,0.74173295,2.364121,21.716417,0.5416667,0.62903225,0.38109627,evid_xent
17,0.7273749,3.6055512,31.107595,0.53846157,0.68501526,0.3817446,evid_xent
18,0.78690255,2.4494898,21.87206,0.70731705,0.7532467,0.3825793,evid_xent
19,0.73853534,4.0,27.964937,0.54651165,0.686549,0.38232034,evid_xent
20,0.73680156,3.6055512,27.757866,0.3301887,0.48618296,0.38269663,evid_xent
21,0.7066711,4.5273557,16.656424,0.37777779,0.47091413,0.38117883,evid_xent
22,0.8224719,1.4142135,15.854812,0.71428573,0.7948244,0.3824714,evid_xent
23,0.6939502,3.4641016,0.94451004,0.5714286,0.6605505,0.38103667,evid_xent
24,0.8144447,2.828427,1.7874396,0.40625,0.51608485,0.3835012,evid_xent
25,0.66619396,5.0990195,28.876486,0.1875,0.30800822,0.38205323,evid_xent
26,0.80414885,4.472136,20.917469,0.18831168,0.31222764,0.38390946,evid_xent
27,0.837471,1.4142135,18.411943,0.6195652,0.71534514,0.38500842,evid_xent
28,0.8320802,1.4142135,18.592964,0.4878049,0.6248158,0.38459188,evid_xent
29,0.77031803,6.0827627,24.211603,0.17073171,0.28140703,0.38415247,evid_xent
30,0.7733032,3.3166249,20.107784,0.36036035,0.51996285,0.38353395,evid_xent
31,0.30948186,8.602325,62.147717,0.2361111,0.36700076,0.3816874,evid_xent
32,0.7281268,6.9440656,18.829786,0.72727275,0.55172414,0.38091707,evid_xent
33,0.7809375,1.7320508,18.684958,0.5,0.5714286,0.38233665,evid_xent
34,0.58862054,9.273619,24.874552,0.29032257,0.43456164,0.38122195,evid_xent
