,dice,hd95,avd,recall,f1,rmse,model_name
0,0.6135217,5.0990195,26.899563,0.50793654,0.531403,0.38228062,evid_dice
1,0.8545179,2.0,1.3209215,0.66,0.61635536,0.38571295,evid_dice
2,0.62784964,4.6796317,13.769363,0.78571427,0.70074075,0.38299653,evid_dice
3,0.61601645,6.2364774,3.8550057,0.5833333,0.44126076,0.38212845,evid_dice
4,0.8904245,2.0,0.6251609,0.55,0.45438898,0.38617304,evid_dice
5,0.500236,15.792396,27.723577,0.3877551,0.391945,0.38173988,evid_dice
6,0.6655724,16.257292,10.350195,0.33333334,0.32,0.38159263,evid_dice
7,0.54940957,10.639532,34.29454,0.4017094,0.5168811,0.38187203,evid_dice
8,0.60336256,3.646383,25.226667,0.75,0.62806237,0.3821812,evid_dice
9,0.45743328,17.029387,30.021599,0.30555555,0.34878048,0.3818067,evid_dice
10,0.6022305,21.326008,13.4920635,0.5,0.28,0.3812869,evid_dice
11,0.63952166,24.083189,55.418182,0.8333333,0.32258064,0.3819302,evid_dice
12,0.77789617,2.236068,7.191077,0.5641026,0.5228268,0.38203976,evid_dice
13,0.90829587,1.4142135,8.443633,0.5362319,0.6285477,0.38614383,evid_dice
14,0.8653043,1.4142135,1.9232919,0.73913044,0.519084,0.3827562,evid_dice
15,0.8026987,8.124039,6.5265837,0.7307692,0.4935065,0.38179561,evid_dice
16,0.72052705,19.942404,15.223881,0.75,0.36144578,0.3814773,evid_dice
17,0.7463666,2.4494898,2.5,0.71153843,0.60769594,0.38212392,evid_dice
18,0.7750885,2.236068,17.011602,0.73170733,0.5680991,0.38339463,evid_dice
19,0.7479013,2.4494898,1.392231,0.61627907,0.5780596,0.38281888,evid_dice
20,0.72421557,5.196152,23.151466,0.3301887,0.42395693,0.38315088,evid_dice
21,0.6705348,19.736958,43.6386,0.5555556,0.39501038,0.38171548,evid_dice
22,0.8158614,1.4142135,3.3459446,0.8214286,0.6067338,0.38303816,evid_dice
23,0.59697837,23.440338,89.13814,0.71428573,0.37914693,0.3815958,evid_dice
24,0.8,4.1231055,22.463768,0.515625,0.4125,0.38438004,evid_dice
25,0.6355866,14.071247,12.618297,0.2375,0.28692237,0.38265827,evid_dice
26,0.7855039,4.1231055,3.07465,0.25324675,0.343744,0.38494995,evid_dice
27,0.8284141,1.4142135,1.6264231,0.6195652,0.6440678,0.38590202,evid_dice
28,0.8418905,1.4142135,5.2787747,0.597561,0.56695193,0.38500214,evid_dice
29,0.7797297,5.0990195,8.054607,0.20731707,0.27309236,0.3846297,evid_dice
30,0.7505618,5.477226,7.3593073,0.35135135,0.40877515,0.3842565,evid_dice
31,0.40087864,15.979607,23.03207,0.3472222,0.3846154,0.38210493,evid_dice
32,0.6706753,43.30127,30.0,0.8181818,0.23263328,0.38134807,evid_dice
33,0.7330247,7.1414285,24.787134,0.8181818,0.29882812,0.38351324,evid_dice
34,0.5982702,12.047812,40.35842,0.38709676,0.36180905,0.38174143,evid_dice
