,dice,hd95,avd,recall,f1,size,surface_area,max_hwd_ratio
0,0.55737704,8.32066,55.944057,1.0,1.0,143,122.0,2.0
1,0.24615385,12.051957,502.7027,1.0,1.0,37,35.0,3.0
2,0.014079242,106.51948,12957.377,1.0,1.0,122,92.0,1.3333333730697632
3,0.125,1.7320508,93.333336,1.0,1.0,15,15.0,1.0
4,0.59264207,47.212288,53.366524,1.0,1.0,36759,14824.0,4.607142925262451
5,0.0,86.810715,857000.0,0.0,0.0,2,2.0,2.0
6,0.0,122.44836,342740.0,0.0,0.0,5,5.0,1.0
7,0.0,109.36498,171320.0,0.0,0.0,10,10.0,4.0
8,0.0,62.58354,131761.53,0.0,0.0,13,13.0,2.0
9,0.46153846,1.0,16.666666,1.0,1.0,6,6.0,3.0
10,0.11764706,2.059017,93.75,1.0,1.0,16,16.0,1.6666666269302368
11,0.00011665889,72.234344,857000.0,1.0,1.0,2,2.0,2.0
12,0.0,79.57826,857000.0,0.0,0.0,2,2.0,2.0
13,0.0,85.51608,857000.0,0.0,0.0,2,2.0,2.0
14,0.0,91.5478,857000.0,0.0,0.0,2,2.0,2.0
15,0.0,82.81606,857000.0,0.0,0.0,2,2.0,2.0
16,0.35555556,5.4594116,175.0,1.0,1.0,12,12.0,2.5
17,0.49056605,5.760921,65.0,1.0,1.0,20,20.0,1.75
18,0.4347826,1.2278174,8.333333,1.0,1.0,12,12.0,2.0
19,0.4,1.9598076,33.333332,1.0,1.0,24,24.0,2.5
20,0.0,70.4514,1714100.0,0.0,0.0,1,1.0,1.0
21,0.0,83.65106,342740.0,0.0,0.0,5,5.0,2.0
22,0.000116665695,52.857357,1714100.0,1.0,1.0,1,1.0,1.0
23,0.0,52.50619,1714100.0,0.0,0.0,1,1.0,1.0
24,0.0,76.97922,1714100.0,0.0,0.0,1,1.0,1.0
25,0.4,1.3520815,75.0,1.0,1.0,4,4.0,2.0
26,0.33333334,1.3520815,100.0,1.0,1.0,2,2.0,2.0
27,0.0,116.684616,571300.0,0.0,0.0,3,3.0,3.0
28,0.58064514,1.4142135,52.38095,1.0,1.0,21,21.0,1.0
29,0.0,121.29262,342740.0,0.0,0.0,5,5.0,1.5
30,0.3888889,1.8928204,75.86207,1.0,1.0,58,49.0,1.5
31,0.0,124.00081,428450.0,0.0,0.0,4,4.0,3.0
32,0.0,128.21817,190366.67,0.0,0.0,9,8.0,3.0
33,0.0,101.41992,244785.72,0.0,0.0,7,7.0,3.0
34,0.0,75.49636,1714100.0,0.0,0.0,1,1.0,1.0
35,0.0,64.470924,1714100.0,0.0,0.0,1,1.0,1.0
36,0.0,96.13532,190366.67,0.0,0.0,9,9.0,4.0
37,0.5714286,1.3313708,150.0,1.0,1.0,2,2.0,2.0
38,0.0,106.90556,190366.67,0.0,0.0,9,9.0,2.0
39,0.0,109.33435,1714100.0,0.0,0.0,1,1.0,1.0
40,0.0010035123,55.22092,113685.71,1.0,1.0,14,14.0,1.5
41,0.0,87.477425,857000.0,0.0,0.0,2,2.0,2.0
