,dice,hd95,avd,recall,f1,size,surface_area,max_hwd_ratio
42,0.00037641154,81.277916,159200.0,1.0,1.0,10,10.0,1.5
43,0.6666667,0.9,0.0,1.0,1.0,3,3.0,2.0
44,0.5,1.9414214,76.92308,1.0,1.0,13,13.0,1.3333333730697632
45,0.6511628,1.0,26.31579,1.0,1.0,19,19.0,1.3333333730697632
46,0.6964286,1.0414214,33.333332,1.0,1.0,48,46.0,1.600000023841858
47,0.42105263,1.4142135,275.0,1.0,1.0,4,4.0,2.0
48,0.5,0.95,0.0,1.0,1.0,2,2.0,2.0
49,0.73239434,1.0,15.151515,1.0,1.0,33,33.0,1.6666666269302368
50,0.6363636,1.0,53.333332,1.0,1.0,15,15.0,1.0
51,0.0,115.79248,18300.0,0.0,0.0,2,2.0,2.0
52,0.709434,2.733693,22.147652,1.0,1.0,298,286.0,5.166666507720947
53,0.85012287,1.0,3.5,1.0,1.0,200,149.0,2.799999952316284
54,0.0,107.19095,18300.0,0.0,0.0,2,2.0,2.0
55,0.0,86.667755,18300.0,0.0,0.0,2,2.0,2.0
56,0.0,83.9482,18300.0,0.0,0.0,2,2.0,2.0
57,0.0,98.68587,3988.889,0.0,0.0,9,9.0,5.0
58,0.0,81.37444,36700.0,0.0,0.0,1,1.0,1.0
59,0.0,58.450832,7260.0,0.0,0.0,5,5.0,4.0
60,0.0,53.834003,36700.0,0.0,0.0,1,1.0,1.0
61,0.0,54.004627,36700.0,0.0,0.0,1,1.0,1.0
62,0.0,80.812744,9100.0,0.0,0.0,4,4.0,2.0
63,0.0,70.5195,18300.0,0.0,0.0,2,2.0,2.0
64,0.0,55.31094,18300.0,0.0,0.0,2,2.0,2.0
65,0.0,49.102943,6033.3335,0.0,0.0,6,6.0,3.0
66,0.0,34.955666,9100.0,0.0,0.0,4,4.0,2.0
67,0.0,51.91434,4500.0,0.0,0.0,8,8.0,1.5
68,0.503876,47.13618,83.51649,1.0,1.0,182,165.0,1.8571428060531616
69,0.46923077,35.12976,142.10527,1.0,1.0,152,146.0,2.25
70,0.0,44.20519,12166.667,0.0,0.0,3,3.0,2.0
71,0.0,69.0297,18300.0,0.0,0.0,2,2.0,2.0
72,0.046376813,58.815384,2936.3635,1.0,1.0,11,11.0,2.3333332538604736
73,0.0,62.20209,18300.0,0.0,0.0,2,2.0,2.0
74,0.0,51.389683,36700.0,0.0,0.0,1,1.0,1.0
75,0.0,50.387493,9100.0,0.0,0.0,4,4.0,2.0
76,0.0,39.67619,4500.0,0.0,0.0,8,8.0,4.0
77,0.0,44.469086,18300.0,0.0,0.0,2,2.0,2.0
78,0.0,58.392635,36700.0,0.0,0.0,1,1.0,1.0
79,0.0,69.41398,6033.3335,0.0,0.0,6,6.0,1.5
80,0.010810811,55.230427,18300.0,1.0,1.0,2,2.0,2.0
81,0.011730205,51.800076,4671.4287,1.0,1.0,7,7.0,4.0
82,0.0,64.54688,9100.0,0.0,0.0,4,4.0,3.0
83,0.16666667,4.6110625,1000.0,1.0,1.0,1,1.0,1.0
84,0.0,44.87984,7260.0,0.0,0.0,5,5.0,5.0
85,0.25,3.8348572,600.0,1.0,1.0,1,1.0,1.0
86,0.20895523,21.038832,391.17648,1.0,1.0,68,66.0,5.0
87,0.02366864,43.18082,8250.0,1.0,1.0,4,4.0,3.0
88,0.0,77.48032,36700.0,0.0,0.0,1,1.0,1.0
89,0.0054200543,52.24366,36700.0,1.0,1.0,1,1.0,1.0
90,0.0,67.30156,12166.667,0.0,0.0,3,3.0,3.0
91,0.07832898,44.232338,2353.3333,1.0,1.0,15,15.0,5.0
92,0.2173913,23.602964,700.0,1.0,1.0,46,46.0,8.5
93,0.01764706,40.2088,5466.6665,1.0,1.0,6,6.0,3.0
94,0.021505376,29.070602,9100.0,1.0,1.0,4,4.0,2.0
95,0.5882353,1.8251407,45.454544,1.0,1.0,11,11.0,2.0
96,0.6486486,1.3935028,31.818182,1.0,1.0,22,22.0,1.0
97,0.6818182,1.0,24.0,1.0,1.0,25,23.0,1.3333333730697632
98,0.64214045,1.5572404,57.75862,1.0,1.0,116,108.0,1.0
99,0.8439716,1.4142135,18.60465,1.0,1.0,387,256.0,1.2999999523162842
100,0.048154093,44.17464,2631.818,1.0,1.0,22,22.0,1.3333333730697632
101,0.0,41.31827,973.2143,0.0,0.0,56,55.0,1.5
102,0.0,71.17584,60000.0,0.0,0.0,1,1.0,1.0
103,0.51428574,2.0,150.0,1.0,1.0,60,52.0,2.75
104,0.43401015,41.075535,221.39038,1.0,1.0,187,140.0,1.2857142686843872
105,0.68311197,15.043263,18.275862,1.0,1.0,290,275.0,12.75
106,0.3939394,2.236068,147.36842,1.0,1.0,19,19.0,1.25
107,0.5625,1.0,66.666664,1.0,1.0,12,12.0,1.6666666269302368
108,0.48027056,12.369317,110.13986,1.0,1.0,286,240.0,6.333333492279053
109,0.0,26.495283,60000.0,0.0,0.0,1,1.0,1.0
110,0.0,57.68015,8485.714,0.0,0.0,7,7.0,5.0
111,0.0,31.581606,4908.3335,0.0,0.0,12,12.0,6.0
112,0.6909091,1.4142135,50.0,1.0,1.0,22,21.0,4.0
113,0.4,1.7840481,75.0,1.0,1.0,12,12.0,2.5
114,0.5,1.4435029,40.0,1.0,1.0,20,20.0,2.5
115,0.3478261,1.7320508,78.947365,1.0,1.0,19,18.0,1.0
116,0.23076923,2.236068,76.190475,1.0,1.0,21,21.0,1.3333333730697632
117,0.0,66.22235,9916.667,0.0,0.0,6,6.0,1.0
118,0.6666667,2.75,57.894737,1.0,1.0,57,46.0,2.0
119,0.6031746,1.7320508,53.488373,1.0,1.0,43,39.0,2.0
120,0.8778304,1.4142135,0.2810424,1.0,1.0,11742,5515.0,4.166666507720947
121,0.36363637,1.3106601,20.0,1.0,1.0,5,5.0,1.5
122,0.8800962,1.4142135,0.54501855,1.0,1.0,9174,4314.0,4.880000114440918
123,0.8607595,1.0,2.5,1.0,1.0,40,38.0,2.0
124,0.0,70.31287,1170800.0,0.0,0.0,1,1.0,1.0
125,0.0,98.79271,585350.0,0.0,0.0,2,2.0,2.0
126,0.0,104.71246,1170800.0,0.0,0.0,1,1.0,1.0
127,0.0,68.65858,1170800.0,0.0,0.0,1,1.0,1.0
128,0.0,66.08554,1170800.0,0.0,0.0,1,1.0,1.0
129,0.0,64.29619,1170800.0,0.0,0.0,1,1.0,1.0
130,0.6666667,0.95,50.0,1.0,1.0,2,2.0,2.0
131,0.0,104.98095,1170800.0,0.0,0.0,1,1.0,1.0
132,0.0,76.80104,1170800.0,0.0,0.0,1,1.0,1.0
133,0.30769232,1.4142135,450.0,1.0,1.0,2,2.0,2.0
134,0.62608695,1.4142135,30.0,1.0,1.0,50,49.0,1.75
135,0.0,93.49332,585350.0,0.0,0.0,2,2.0,2.0
136,0.0,90.81905,292625.0,0.0,0.0,4,4.0,2.0
137,0.0,97.33807,1170800.0,0.0,0.0,1,1.0,1.0
138,0.0,99.51935,1170800.0,0.0,0.0,1,1.0,1.0
139,0.6715867,2.5139308,58.095238,1.0,1.0,105,104.0,2.200000047683716
140,0.5882353,1.0,54.285713,1.0,1.0,35,35.0,1.25
141,0.47058824,1.0,11.111111,1.0,1.0,9,9.0,2.0
142,0.0,66.04544,48687.5,0.0,0.0,24,24.0,2.5
143,0.3809524,1.4142135,68.75,1.0,1.0,16,16.0,1.5
144,0.4375,2.0236068,46.153847,1.0,1.0,13,13.0,2.5
145,0.0,91.714775,234080.0,0.0,0.0,5,5.0,3.0
146,0.0,110.7759,585350.0,0.0,0.0,2,2.0,2.0
147,0.30769232,1.4142135,55.555557,1.0,1.0,9,9.0,1.5
148,0.024390243,6.4807405,3900.0,1.0,1.0,2,2.0,2.0
149,0.6241135,1.4142135,31.147541,1.0,1.0,61,53.0,2.75
150,0.74898785,1.4142135,23.529411,1.0,1.0,221,176.0,1.3333333730697632
151,0.44444445,1.2899495,250.0,1.0,1.0,2,2.0,2.0
152,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0
153,0.0,58.276066,1170800.0,0.0,0.0,1,1.0,1.0
154,0.2857143,1.4142135,500.0,1.0,1.0,1,1.0,1.0
155,0.0003415592,114.63725,585350.0,1.0,1.0,2,2.0,2.0
156,0.0,117.572105,1170800.0,0.0,0.0,1,1.0,1.0
157,0.0013634427,73.292564,44934.617,1.0,1.0,26,26.0,2.0
158,0.6857143,1.0828427,5.882353,1.0,1.0,17,17.0,1.0
159,0.05376344,12.85543,730.0,1.0,1.0,20,20.0,8.0
160,0.23076923,2.236068,86.95652,1.0,1.0,23,23.0,3.0
161,0.48,1.4142135,68.42105,1.0,1.0,19,19.0,2.0
162,0.30769232,1.7363961,70.0,1.0,1.0,10,10.0,2.0
163,0.5,0.95,0.0,1.0,1.0,2,2.0,2.0
164,0.00814664,64.91533,15512.0,1.0,1.0,75,62.0,1.0
165,0.14814815,5.8198037,92.0,1.0,1.0,25,25.0,6.0
166,0.0,84.994705,292625.0,0.0,0.0,4,4.0,2.0
167,0.6363636,1.0207107,9.523809,1.0,1.0,21,20.0,1.25
168,0.0,79.870514,292625.0,0.0,0.0,4,4.0,2.0
169,0.0,95.38344,53122.727,0.0,0.0,22,22.0,2.6666667461395264
170,0.0,89.47626,58445.0,0.0,0.0,20,20.0,2.5
171,0.6666667,1.0,57.142857,1.0,1.0,14,14.0,1.3333333730697632
172,0.0,82.56937,1170800.0,0.0,0.0,1,1.0,1.0
173,0.5,0.95,0.0,1.0,1.0,2,2.0,2.0
174,0.0,59.537384,1170800.0,0.0,0.0,1,1.0,1.0
175,0.0,66.23217,585350.0,0.0,0.0,2,2.0,2.0
176,0.0,71.91174,167171.42,0.0,0.0,7,7.0,4.0
177,0.0,77.136246,1170800.0,0.0,0.0,1,1.0,1.0
178,0.5,1.3727922,200.0,1.0,1.0,1,1.0,1.0
179,0.0039335666,73.02088,32485.715,1.0,1.0,28,28.0,1.3333333730697632
180,0.34615386,2.2787523,233.33333,1.0,1.0,12,12.0,2.0
181,0.33333334,1.4142135,50.0,1.0,1.0,8,8.0,1.0
182,0.5,4.1231055,85.71429,1.0,1.0,35,35.0,2.0
183,0.0,59.529823,116990.0,0.0,0.0,10,10.0,1.5
184,0.6666667,1.062132,50.0,1.0,1.0,12,12.0,1.6666666269302368
185,0.2,1.4142135,300.0,1.0,1.0,2,2.0,2.0
186,0.5714286,1.4142135,150.0,1.0,1.0,14,14.0,2.0
187,0.6111111,1.0,127.27273,1.0,1.0,11,11.0,1.5
188,0.0882353,5.8179936,2066.6667,1.0,1.0,3,3.0,3.0
189,0.8428965,1.4142135,2.131879,1.0,1.0,2017,1259.0,2.75
190,0.5825653,75.88478,93.739426,1.0,1.0,1773,1173.0,2.588235378265381
191,0.0,79.344185,21368.75,0.0,0.0,16,16.0,2.5
192,0.0,86.60196,343400.0,0.0,0.0,1,1.0,1.0
193,0.0,63.794117,85775.0,0.0,0.0,4,4.0,3.0
194,0.0,84.871666,343400.0,0.0,0.0,1,1.0,1.0
195,0.0,101.63415,343400.0,0.0,0.0,1,1.0,1.0
196,0.30769232,1.5731322,81.818184,1.0,1.0,11,11.0,1.3333333730697632
197,0.0,61.13101,343400.0,0.0,0.0,1,1.0,1.0
198,0.43333334,1.4142135,72.34042,1.0,1.0,47,43.0,1.25
199,0.0,101.79145,57150.0,0.0,0.0,6,6.0,3.0
200,0.0,91.03021,171650.0,0.0,0.0,2,2.0,2.0
201,0.0,99.0404,57150.0,0.0,0.0,6,6.0,1.0
202,0.0,82.112724,171650.0,0.0,0.0,2,2.0,2.0
203,0.0,78.376656,68600.0,0.0,0.0,5,5.0,1.5
204,0.0,75.33658,171650.0,0.0,0.0,2,2.0,2.0
205,0.0,96.096306,42837.5,0.0,0.0,8,8.0,1.5
206,0.08695652,2.4494898,95.454544,1.0,1.0,22,21.0,1.3333333730697632
207,0.0,104.49928,114400.0,0.0,0.0,3,3.0,2.0
208,0.0,80.66536,343400.0,0.0,0.0,1,1.0,1.0
209,0.7544389,1.4142135,10.954063,1.0,1.0,1415,1096.0,6.153846263885498
210,0.0,64.16463,171650.0,0.0,0.0,2,2.0,2.0
211,0.0,103.38133,18983.334,0.0,0.0,18,18.0,1.3333333730697632
212,0.5660377,2.2108672,46.376812,1.0,1.0,69,62.0,1.399999976158142
213,0.012602394,78.319855,9135.294,1.0,1.0,17,16.0,1.0
214,0.18181819,3.2558453,90.0,1.0,1.0,10,10.0,5.0
215,0.06735319,69.131035,2074.0505,1.0,1.0,158,135.0,2.142857074737549
216,0.45454547,1.0,53.333332,1.0,1.0,15,15.0,1.3333333730697632
217,0.0,73.72245,22800.0,0.0,0.0,15,15.0,1.5
218,0.0,70.900635,4193.75,0.0,0.0,80,79.0,4.0
219,0.0,83.91245,34250.0,0.0,0.0,10,10.0,5.0
220,0.0,97.25019,26323.076,0.0,0.0,13,13.0,1.3333333730697632
221,0.0025445293,67.48333,78400.0,1.0,1.0,2,2.0,2.0
222,0.42987096,42.39339,165.86687,1.0,1.0,1292,865.0,5.307692527770996
223,0.2857143,2.6389585,220.0,1.0,1.0,10,10.0,2.0
224,0.5925926,1.0,25.0,1.0,1.0,12,12.0,1.5
225,0.60240966,1.4142135,49.090908,1.0,1.0,55,48.0,1.0
226,0.0,88.18503,171650.0,0.0,0.0,2,2.0,2.0
227,0.0,90.13323,171650.0,0.0,0.0,2,2.0,2.0
228,0.0,103.26955,42837.5,0.0,0.0,8,8.0,4.0
229,0.13793103,4.2426405,79.166664,1.0,1.0,48,45.0,1.399999976158142
230,0.0,79.57196,171650.0,0.0,0.0,2,2.0,2.0
231,0.33628318,3.2394512,79.14439,1.0,1.0,187,131.0,1.8333333730697632
232,0.0,68.66364,343400.0,0.0,0.0,1,1.0,1.0
233,0.6296296,1.4142135,7.142857,1.0,1.0,56,48.0,1.75
234,0.010973144,67.30007,12167.857,1.0,1.0,28,28.0,1.25
235,0.0,70.94293,13111.538,0.0,0.0,26,26.0,3.5
236,0.10526316,3.1854298,94.44444,1.0,1.0,18,18.0,2.5
237,0.0,79.424805,57150.0,0.0,0.0,6,6.0,3.0
238,0.0,97.23425,85775.0,0.0,0.0,4,4.0,2.0
239,0.0,83.89994,14212.5,0.0,0.0,24,24.0,3.5
240,0.0,102.932014,24435.715,0.0,0.0,14,14.0,2.0
241,0.0,105.728424,21368.75,0.0,0.0,16,16.0,1.0
242,0.0,105.68964,171650.0,0.0,0.0,2,2.0,2.0
243,0.06896552,2.695799,96.42857,1.0,1.0,28,28.0,2.5
244,0.16666667,1.4142135,50.0,1.0,1.0,8,8.0,2.0
245,0.18181819,2.35345,90.0,1.0,1.0,10,10.0,2.0
246,0.0,123.33937,24435.715,0.0,0.0,14,14.0,2.0
247,0.0,78.59325,85775.0,0.0,0.0,4,4.0,3.0
248,0.0,88.26778,15513.637,0.0,0.0,22,22.0,7.0
249,0.0,112.44954,114400.0,0.0,0.0,3,3.0,3.0
250,0.0,108.170235,34250.0,0.0,0.0,10,10.0,1.5
251,0.6938776,1.0,4.1666665,1.0,1.0,24,23.0,1.3333333730697632
252,0.15384616,2.3321078,91.666664,1.0,1.0,12,12.0,2.0
253,0.32258064,1.4142135,59.090908,1.0,1.0,22,22.0,1.3333333730697632
254,0.4,1.4142135,57.142857,1.0,1.0,14,14.0,1.5
255,0.33333334,1.4142135,80.0,1.0,1.0,5,5.0,3.0
256,0.46153846,1.3313708,37.5,1.0,1.0,8,8.0,4.0
257,0.5,1.2071068,54.545456,1.0,1.0,11,11.0,4.0
258,0.4522613,3.7041636,206.12245,1.0,1.0,49,49.0,2.0
259,0.42063493,5.7791185,258.18182,1.0,1.0,55,50.0,1.5
260,0.03,8.944272,6466.6665,1.0,1.0,3,3.0,3.0
261,0.30107528,3.1622777,72.60274,1.0,1.0,73,69.0,2.25
262,0.29508197,2.4494898,82.69231,1.0,1.0,52,48.0,2.3333332538604736
263,0.0,62.47559,19425.0,0.0,0.0,4,4.0,3.0
264,0.0,68.8923,38950.0,0.0,0.0,2,2.0,2.0
265,0.0,62.180782,25933.334,0.0,0.0,3,3.0,3.0
266,0.0,36.893764,19425.0,0.0,0.0,4,4.0,4.0
267,0.0,32.93397,7000.0,0.0,0.0,11,11.0,6.0
268,0.7619048,1.0,10.0,1.0,1.0,10,10.0,1.5
269,0.6666667,1.0,50.0,1.0,1.0,4,4.0,2.0
270,0.25,2.1652477,600.0,1.0,1.0,1,1.0,1.0
271,0.0,71.35369,78000.0,0.0,0.0,1,1.0,1.0
272,0.0,56.35734,19425.0,0.0,0.0,4,4.0,3.0
273,0.0,63.915176,78000.0,0.0,0.0,1,1.0,1.0
274,0.0,57.880905,78000.0,0.0,0.0,1,1.0,1.0
275,0.6241135,1.4142135,14.960629,1.0,1.0,381,368.0,7.5
276,0.41666666,2.3249218,66.666664,1.0,1.0,18,18.0,2.5
277,0.0,56.61183,78000.0,0.0,0.0,1,1.0,1.0
278,0.0,54.382893,78000.0,0.0,0.0,1,1.0,1.0
279,0.0,53.303844,15520.0,0.0,0.0,5,5.0,3.0
280,0.2857143,6.3806844,77.02702,1.0,1.0,74,74.0,3.5999999046325684
281,0.3773585,33.01515,245.57523,1.0,1.0,226,192.0,2.1111111640930176
282,0.62711865,18.681541,51.06383,1.0,1.0,517,424.0,5.285714149475098
283,0.8,0.8,0.0,1.0,1.0,5,5.0,4.0
284,0.0,53.090946,38950.0,0.0,0.0,2,2.0,2.0
285,0.0,59.415066,19425.0,0.0,0.0,4,4.0,3.0
286,0.0,34.496376,78000.0,0.0,0.0,1,1.0,1.0
287,0.69902915,6.8311386,23.104692,1.0,1.0,277,175.0,3.0
288,0.0726257,24.024382,1905.8823,1.0,1.0,17,17.0,1.3333333730697632
289,0.006153846,53.10273,32300.0,1.0,1.0,1,1.0,1.0
290,0.0,56.455715,5478.5713,0.0,0.0,14,14.0,1.3333333730697632
291,0.0,71.721664,8577.777,0.0,0.0,9,9.0,4.0
292,0.65,1.4142135,66.666664,1.0,1.0,15,15.0,1.0
293,0.0,41.818054,38950.0,0.0,0.0,2,2.0,2.0
294,0.0,33.6348,12916.667,0.0,0.0,6,6.0,3.0
295,0.8,1.0,33.333332,1.0,1.0,6,6.0,4.0
296,0.6857143,1.1242641,33.333332,1.0,1.0,30,30.0,1.6666666269302368
297,0.5398773,4.1231055,69.421486,1.0,1.0,121,109.0,2.1666667461395264
298,0.5483871,5.8309517,51.2,1.0,1.0,125,123.0,2.799999952316284
299,0.23076923,7.1379104,86.95652,1.0,1.0,23,22.0,4.5
300,0.62068963,8.351305,67.375885,1.0,1.0,141,134.0,3.200000047683716
301,0.59786475,12.593596,95.789474,1.0,1.0,190,154.0,1.5
302,0.0053619305,26.21252,37100.0,1.0,1.0,1,1.0,1.0
303,0.33333334,1.3520815,50.0,1.0,1.0,4,4.0,2.0
304,0.4,1.3520815,75.0,1.0,1.0,4,4.0,2.0
305,0.0,98.83876,126500.0,0.0,0.0,1,1.0,1.0
306,0.0,42.243248,63200.0,0.0,0.0,2,2.0,2.0
307,0.0,51.647827,126500.0,0.0,0.0,1,1.0,1.0
308,0.64285713,1.0,66.666664,1.0,1.0,21,21.0,2.0
309,0.61167973,15.224839,40.376266,1.0,1.0,691,518.0,5.099999904632568
310,0.8084012,1.4142135,18.650421,1.0,1.0,1067,784.0,6.181818008422852
311,0.18181819,2.35345,90.0,1.0,1.0,10,10.0,1.5
312,0.0,64.85291,42100.0,0.0,0.0,3,3.0,3.0
313,0.0,36.79379,25220.0,0.0,0.0,5,5.0,3.0
314,0.16216215,8.83176,328.57144,1.0,1.0,7,7.0,1.5
315,0.0062745097,56.99284,13966.667,1.0,1.0,9,9.0,1.0
316,0.002057613,65.12642,48400.0,1.0,1.0,2,2.0,2.0
317,0.0,82.21496,63200.0,0.0,0.0,2,2.0,2.0
318,0.72727275,2.2342582,75.0,1.0,1.0,4,4.0,4.0
319,0.29268292,7.8740077,172.72728,1.0,1.0,11,11.0,2.0
320,0.3783784,4.375814,328.57144,1.0,1.0,7,7.0,3.0
321,0.0,55.84798,126500.0,0.0,0.0,1,1.0,1.0
322,0.0,66.48534,25220.0,0.0,0.0,5,5.0,5.0
323,0.07961165,57.015785,1516.6666,1.0,1.0,60,59.0,3.3333332538604736
324,0.032388665,61.415794,5288.8887,1.0,1.0,18,18.0,2.0
325,0.82222223,1.4142135,25.0,1.0,1.0,40,32.0,3.0
326,0.0,39.228817,3231.5789,0.0,0.0,38,38.0,8.0
327,0.01621074,52.113335,5605.8823,1.0,1.0,17,17.0,2.0
328,0.0,38.12479,126500.0,0.0,0.0,1,1.0,1.0
329,0.53333336,1.4142135,81.25,1.0,1.0,16,16.0,2.0
330,0.375,1.4142135,28.571428,1.0,1.0,7,7.0,3.0
331,0.36363637,1.4142135,350.0,1.0,1.0,6,6.0,3.0
332,0.6666667,1.0,55.555557,1.0,1.0,27,27.0,2.0
333,0.27272728,1.5374917,350.0,1.0,1.0,4,4.0,2.0
334,0.21621622,2.6972194,725.0,1.0,1.0,4,4.0,3.0
335,0.11111111,4.2426405,1000.0,1.0,1.0,3,3.0,3.0
336,0.74300253,3.1622777,30.498533,1.0,1.0,682,572.0,4.777777671813965
337,0.0,90.07774,17700.0,0.0,0.0,5,5.0,3.0
338,0.6356968,3.9612486,38.483967,1.0,1.0,343,297.0,3.6666667461395264
339,0.77728707,2.0,20.445063,1.0,1.0,719,545.0,4.416666507720947
340,0.041062802,53.113464,4400.0,1.0,1.0,18,17.0,2.5
341,0.0996016,21.276741,1659.2593,1.0,1.0,27,27.0,1.3333333730697632
342,0.0,48.692917,44400.0,0.0,0.0,2,2.0,2.0
343,0.0,47.717922,44400.0,0.0,0.0,2,2.0,2.0
344,0.44626594,31.278086,181.25,1.0,1.0,288,257.0,4.142857074737549
345,0.002244669,27.018513,88900.0,1.0,1.0,1,1.0,1.0
346,0.22222222,2.2894235,87.5,1.0,1.0,16,16.0,2.0
347,0.54761904,3.4641016,75.409836,1.0,1.0,61,60.0,3.25
348,0.0,66.37017,22150.0,0.0,0.0,4,4.0,2.0
349,0.22222222,1.3520815,20.0,1.0,1.0,5,5.0,3.0
350,0.0,120.9876,14733.333,0.0,0.0,6,6.0,3.0
351,0.0,32.526913,4844.4443,0.0,0.0,18,18.0,1.3333333730697632
352,0.0,26.095976,8800.0,0.0,0.0,10,10.0,1.3333333730697632
353,0.6486486,1.0,46.666668,1.0,1.0,15,15.0,2.0
354,0.2857143,2.0306044,83.333336,1.0,1.0,6,6.0,3.0
355,0.25,3.1816654,85.71429,1.0,1.0,35,35.0,1.5
356,0.42857143,1.7320508,72.72727,1.0,1.0,22,22.0,1.6666666269302368
357,0.0,122.008194,3078.5715,0.0,0.0,28,25.0,1.3333333730697632
358,0.0,30.594116,14733.333,0.0,0.0,6,6.0,3.0
359,0.0022421526,29.93326,44400.0,1.0,1.0,2,2.0,2.0
360,0.03088803,9.06626,3037.5,1.0,1.0,8,8.0,1.5
361,0.007905139,10.601482,12450.0,1.0,1.0,2,2.0,2.0
362,0.088495575,11.045361,1683.3334,1.0,1.0,6,6.0,1.0
363,0.33333334,1.4142135,400.0,1.0,1.0,2,2.0,2.0
364,0.0,35.70714,12614.286,0.0,0.0,7,7.0,3.0
365,0.516129,1.4142135,6.25,1.0,1.0,16,14.0,5.0
366,0.625,1.0,54.545456,1.0,1.0,11,10.0,4.0
367,0.00982801,61.163715,20150.0,1.0,1.0,4,4.0,2.0
368,0.4,3.2394512,175.0,1.0,1.0,4,4.0,3.0
369,0.40968344,29.2361,206.81818,1.0,1.0,264,218.0,3.5
370,0.0,101.788994,14733.333,0.0,0.0,6,6.0,3.0
371,0.21428572,1.4142135,25.0,1.0,1.0,16,16.0,1.3333333730697632
372,0.0,115.507576,14733.333,0.0,0.0,6,6.0,3.0
373,0.0,128.95348,12614.286,0.0,0.0,7,7.0,4.0
374,0.5,1.0,0.0,1.0,1.0,4,4.0,2.0
375,0.028537456,64.14826,2512.9033,1.0,1.0,31,29.0,1.3333333730697632
376,0.0024630541,59.211487,40400.0,1.0,1.0,2,2.0,2.0
377,0.0,55.443665,44400.0,0.0,0.0,2,2.0,2.0
378,0.0,65.66582,7316.6665,0.0,0.0,12,12.0,1.5
379,0.4,1.3520815,75.0,1.0,1.0,4,4.0,2.0
380,0.42105263,1.4142135,116.666664,1.0,1.0,6,6.0,3.0
381,0.42857143,2.236068,72.72727,1.0,1.0,11,11.0,2.0
382,0.33333334,1.4142135,400.0,1.0,1.0,1,1.0,1.0
383,0.41379312,1.7320508,55.0,1.0,1.0,20,20.0,2.5
384,0.6122449,1.4142135,51.515152,1.0,1.0,33,31.0,1.3333333730697632
385,0.0,98.59006,12614.286,0.0,0.0,7,7.0,3.0
386,0.0,107.77755,14733.333,0.0,0.0,6,6.0,3.0
