,gt_vols,best_dice_ss2,best_avd_ss2,best_dice_dsorted_ss2,GED^2_ss2,sUEO_ss2,best_dice_ss3,best_avd_ss3,best_dice_dsorted_ss3,GED^2_ss3,sUEO_ss3,best_dice_ss5,best_avd_ss5,best_dice_dsorted_ss5,GED^2_ss5,sUEO_ss5,best_dice_ss7,best_avd_ss7,best_dice_dsorted_ss7,GED^2_ss7,sUEO_ss7,best_dice_ss10,best_avd_ss10,best_dice_dsorted_ss10,GED^2_ss10,sUEO_ss10,best_dice_ss15,best_avd_ss15,best_dice_dsorted_ss15,GED^2_ss15,sUEO_ss15,best_dice_ss20,best_avd_ss20,best_dice_dsorted_ss20,GED^2_ss20,sUEO_ss20,best_dice_ss25,best_avd_ss25,best_dice_dsorted_ss25,GED^2_ss25,sUEO_ss25,model_name
0,3986.0,0.7853272,19.3427,0.8278341293334961,0.38146192,0.44187838,0.78903425,1.3296539,0.8323108553886414,0.4509582,0.43256673,0.79882056,0.20070246,0.8336042165756226,0.46861014,0.4404214,0.80664235,0.5770196,0.8445748090744019,0.4426828,0.42850637,0.8071041,3.411942,0.8466335535049438,0.44950104,0.44118392,0.805415,1.705971,0.8474834561347961,0.46395376,0.43090698,0.8119616,0.7526342,0.8534044623374939,0.47196272,0.43908802,0.8113136,0.42649275,0.8502191305160522,0.4612994,0.43542027,ssn_ens0_cv0
1,1648.0,0.57560974,0.9708738,0.6123033165931702,0.7493721,0.37732652,0.59384614,2.7912621,0.6307384967803955,0.8669894,0.38184288,0.59651566,0.42475727,0.6419752836227417,0.90375787,0.38306916,0.6044801,9.46602,0.6324341893196106,0.874646,0.38943425,0.6112103,0.42475727,0.6458064317703247,0.88305825,0.38745236,0.618999,3.15534,0.6621253490447998,0.8910827,0.38936847,0.6114063,0.12135922,0.6595451235771179,0.907476,0.38081703,0.6091664,2.002427,0.6742857098579407,0.8808476,0.39535534,ssn_ens0_cv0
2,5864.0,0.8103151,12.193042,0.8129236102104187,0.444286,0.5155284,0.8221569,2.6603003,0.8356189131736755,0.4454696,0.5277901,0.805487,12.175989,0.8447456359863281,0.4852473,0.49335954,0.81828594,4.911323,0.8449501991271973,0.5240718,0.5017569,0.84872395,3.13779,0.8708436489105225,0.483372,0.5303775,0.8282092,3.308322,0.8648976683616638,0.5264475,0.5138549,0.83872086,2.6944065,0.8716458678245544,0.4937415,0.5143869,0.82949674,0.3581173,0.8730171918869019,0.5149223,0.5193309,ssn_ens0_cv0
3,5861.0,0.76718366,16.703634,0.8018949031829834,0.37648895,0.49882814,0.7749489,17.130182,0.8265663385391235,0.46339706,0.5169322,0.77836347,10.390718,0.8466660976409912,0.5088484,0.49488354,0.775378,5.3915715,0.8230430483818054,0.55889106,0.4870356,0.76361287,1.6208838,0.8233345746994019,0.5789032,0.4865837,0.7775645,0.23886707,0.8434980511665344,0.5668031,0.504135,0.77537435,0.6312916,0.8529462814331055,0.566934,0.4949934,0.7797429,2.4057329,0.8602706789970398,0.5795082,0.4951849,ssn_ens0_cv0
4,12240.0,0.7593626,16.968954,0.7614327669143677,0.54230416,0.5171634,0.76058114,18.357843,0.7661007642745972,0.65403646,0.5139025,0.7886937,3.74183,0.8007738590240479,0.6131085,0.5288199,0.8075826,3.4232028,0.8236221671104431,0.58795065,0.5486328,0.828045,6.421569,0.8453446626663208,0.5904434,0.55247825,0.8225066,2.0016341,0.8437599539756775,0.5976923,0.5468557,0.81368726,0.87418306,0.8468905687332153,0.5993343,0.54801255,0.82757527,0.89869285,0.849574863910675,0.6105734,0.55056775,ssn_ens0_cv0
5,20444.0,0.89307415,5.214244,0.8990849256515503,0.24220872,0.48784828,0.8949698,5.517511,0.904082179069519,0.34416178,0.49257916,0.90333503,0.6799061,0.9124974608421326,0.33592674,0.5159665,0.90179217,3.2136567,0.9109447002410889,0.36075455,0.51173544,0.90408677,1.4038348,0.9153119325637817,0.35625193,0.5069049,0.90700877,0.9587165,0.9213545322418213,0.34979427,0.50549793,0.90992904,0.5527294,0.9261189103126526,0.35391477,0.5084042,0.9077794,1.667971,0.9253113865852356,0.3560216,0.50988996,ssn_ens0_cv0
6,6033.0,0.7595641,20.537046,0.7814484238624573,0.40949798,0.47426626,0.7811713,2.4531744,0.7987067103385925,0.48385507,0.4953346,0.77801687,0.26520804,0.8034629225730896,0.54040885,0.4857148,0.77632606,0.28178352,0.8070781826972961,0.5195142,0.48210025,0.78638476,3.0664678,0.807692289352417,0.53673464,0.4862762,0.78556865,0.8785016,0.8086807727813721,0.53566706,0.48407865,0.7854648,0.66302,0.8162569999694824,0.53913593,0.48909995,0.7898019,0.5967181,0.8149285316467285,0.54899794,0.49151862,ssn_ens0_cv0
7,5462.0,0.81002253,14.902966,0.8474040031433105,0.3169431,0.4543159,0.8075073,2.3617723,0.8708467483520508,0.38944295,0.44992194,0.81198716,5.272794,0.8731729388237,0.37851417,0.4330562,0.84063673,4.7235446,0.8696253895759583,0.38843215,0.46738198,0.833652,1.3914317,0.8801611065864563,0.38740933,0.44812474,0.8379858,0.8604907,0.8856220841407776,0.38827184,0.45943764,0.83834076,1.5745149,0.8858845233917236,0.3991261,0.46242023,0.8355101,0.4577078,0.8889286518096924,0.39781252,0.4613203,ssn_ens0_cv0
8,381.0,0.41902605,31.75853,0.45315903425216675,0.9547487,0.40048546,0.40481928,17.847769,0.48184818029403687,1.0457826,0.41343355,0.44903225,3.4120734,0.47349822521209717,1.0993849,0.4325558,0.40689656,6.5616803,0.46521738171577454,1.143814,0.40381917,0.40521327,3.4120734,0.49142858386039734,1.1386611,0.39234114,0.3988604,13.6482935,0.5076741576194763,1.160903,0.3973428,0.4338896,4.461942,0.5418719053268433,1.1572443,0.4006933,0.4283604,0.5249344,0.5452322959899902,1.1639241,0.4051537,ssn_ens0_cv0
9,4850.0,0.7969733,9.814433,0.8149582147598267,0.37375438,0.465038,0.78990936,9.237114,0.8230889439582825,0.46712258,0.46585536,0.8142324,4.556701,0.8431828022003174,0.44033813,0.45847794,0.8175551,2.9896908,0.8477259278297424,0.43431285,0.46790507,0.82229966,1.1958764,0.8527355194091797,0.43656734,0.4663356,0.8327,0.7628866,0.8668990731239319,0.43076074,0.46833885,0.844723,2.9896908,0.8686638474464417,0.43601364,0.46900666,0.83605886,1.7319587,0.8662117719650269,0.43762505,0.4667758,ssn_ens0_cv0
