,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss7,rater1_best_dice_dsorted_ss7,mean_gt_vols
0,0.4329255223274231,0.42520061135292053,0.50105137,0.8781559,0.51036924,5.542935,0.6682709,0.6663625041643778,0.5366685390472412,0.5508646965026855,2011.5
1,0.43044567108154297,0.3948215842247009,0.4741602,47.68,0.4671378,0.0742942,0.5201134,0.5198382210163843,0.5069605708122253,0.5066162347793579,985.5
2,0.3968842029571533,0.43856507539749146,0.4347826,0.9832841,0.4111855,34.268932,0.69973415,0.6940945315928686,0.48307517170906067,0.4422583281993866,1274.5
3,0.44817113876342773,0.41860634088516235,0.4549356,113.41864,0.74697447,1.7678348,0.3914011,0.3896960147789546,0.4883353114128113,0.7652262449264526,4720.0
4,0.4134675860404968,0.3817751109600067,0.66060305,1.5973253,0.7186312,1.4310188,0.5188796,0.5177799477463676,0.6878872513771057,0.7399401068687439,8999.5
5,0.44427362084388733,0.3915623128414154,0.60148066,18.811882,0.650707,0.1525553,0.5187717,0.5188306669394175,0.6222345232963562,0.6810704469680786,3481.5
6,0.4200623333454132,0.3757762908935547,0.6117546,35.97497,0.65185726,2.8391168,0.5216861,0.5213592648506165,0.6292135119438171,0.6862817406654358,1113.5
7,0.44893527030944824,0.381651371717453,0.6273666,32.328766,0.63665456,29.560085,0.566187,0.5662361468587602,0.6513781547546387,0.6555798649787903,1844.5
8,0.4090639054775238,0.40623176097869873,0.5272145,0.9411764,0.55683005,3.177966,0.52236724,0.5183487832546234,0.5855855941772461,0.6183784008026123,448.5
9,0.43077927827835083,0.3883991539478302,0.36926362,4.8484845,0.3156533,16.012085,0.65104926,0.6465668791816348,0.4057084619998932,0.36206895112991333,413.0
10,0.4081440269947052,0.4053035378456116,0.54134166,5.834093,0.58883595,0.27192387,0.5786694,0.5762720391863868,0.5770519375801086,0.6126062273979187,1284.0
11,0.44816431403160095,0.4059513807296753,0.59283566,1.978519,0.59850246,1.748449,0.6196039,0.6187378650619869,0.6261211037635803,0.6296399831771851,1771.0
12,0.39718928933143616,0.38475921750068665,0.7353725,0.47891447,0.74784994,0.1537476,0.4626124,0.46184934037072317,0.7541068196296692,0.7674463391304016,7661.0
13,0.4023658037185669,0.38767707347869873,0.7054922,1.9698527,0.7058162,0.50650007,0.47264284,0.4711207023688725,0.7250996232032776,0.7286598086357117,5880.5
14,0.4315822422504425,0.3919183909893036,0.6280549,6.808199,0.6105458,3.2554846,0.6079539,0.6070586102349418,0.663585364818573,0.6502400040626526,1389.5
15,0.4492083191871643,0.39035606384277344,0.5169425,40.020897,0.4879692,81.571815,0.6204502,0.6191991525036947,0.5516687035560608,0.5260811448097229,847.5
16,0.43233203887939453,0.3677334487438202,0.65584946,39.501194,0.62362033,63.943966,0.5969145,0.5964066613288153,0.6731202006340027,0.6454588770866394,5046.5
17,0.42321038246154785,0.3911328911781311,0.74267536,0.59417707,0.7347367,0.564636,0.54277885,0.5422367056210835,0.7539520859718323,0.7458781003952026,13462.0
18,0.43160468339920044,0.41671133041381836,0.5611052,7.959183,0.541291,4.71831,0.6428844,0.6409446327459244,0.5912713408470154,0.5726267695426941,2890.0
19,0.43297556042671204,0.42236655950546265,0.3640634,1.9650655,0.37902716,1.1306533,0.7320958,0.7311758122273855,0.4036281108856201,0.41332510113716125,856.0
20,0.46934637427330017,0.40737032890319824,0.6423292,10.617958,0.61739266,32.10581,0.52266884,0.5197614161741165,0.6787114143371582,0.6368662118911743,6785.0
21,0.39596569538116455,0.3855210244655609,0.7464345,3.1933355,0.73311067,8.40605,0.32788128,0.325456957022349,0.7675685286521912,0.7504911422729492,6319.0
22,0.42638567090034485,0.44809776544570923,0.46350366,20.915033,0.49248976,21.236778,0.6654953,0.660492942446754,0.5224860906600952,0.5390505194664001,1226.5
23,0.4218042492866516,0.44532260298728943,0.3687375,7.5085325,0.3180428,4.6875,0.53647137,0.531685374144997,0.47555556893348694,0.4038155674934387,370.5
24,0.3372043967247009,0.43816903233528137,0.3057644,1.8796991,0.36085626,5.670103,0.3890121,0.36349239182614135,0.49406176805496216,0.565597653388977,230.0
25,0.37384504079818726,0.3595912456512451,0.59886366,2.6649747,0.5950653,3.9525692,0.41259113,0.4089710953689757,0.6734939813613892,0.6473107933998108,900.0
26,0.40086331963539124,0.3719004690647125,0.69909257,1.369863,0.72494525,1.2480841,0.42490152,0.42299354785964605,0.7362036108970642,0.7573480606079102,4364.0
27,0.4322100579738617,0.3681563436985016,0.7069311,1.3913825,0.6936672,2.093664,0.41813445,0.4139712566421146,0.7390584349632263,0.7308648228645325,4043.0
28,0.4391991198062897,0.4395331144332886,0.39508507,26.530611,0.43876177,8.387097,0.56930023,0.5538040090884481,0.47930702567100525,0.5376079082489014,575.5
29,0.4543561041355133,0.4183778464794159,0.52479386,52.65845,0.5299897,34.89104,0.61087143,0.6101285517215729,0.5351529121398926,0.5615325570106506,4905.0
30,0.40735548734664917,0.4049038290977478,0.7772512,11.166185,0.81144387,1.4358416,0.31686038,0.31340260165078304,0.7952004671096802,0.8391311764717102,6382.5
31,0.41648703813552856,0.40090376138687134,0.6522764,17.995033,0.6533747,3.5680153,0.41625506,0.4118312824340093,0.6762886643409729,0.6921326518058777,3784.0
32,0.4048643410205841,0.4155001640319824,0.7562504,27.632397,0.7706725,14.846042,0.45095745,0.45048923293749493,0.762477695941925,0.7774407267570496,17814.0
33,0.41149359941482544,0.4134575426578522,0.72003704,19.205963,0.74431527,1.491013,0.4318515,0.43084600567817694,0.7272555232048035,0.7599404454231262,10865.5
34,0.4381276071071625,0.41425609588623047,0.64773554,21.579142,0.6767177,4.6537766,0.47962657,0.47748916418779475,0.6599341034889221,0.7058541178703308,4928.0
35,0.4373438358306885,0.44193410873413086,0.5805591,41.359333,0.61919504,21.306818,0.62516826,0.6239426703680129,0.5948629379272461,0.640815258026123,7831.5
36,0.4259815514087677,0.4389750063419342,0.5526247,48.38646,0.6066225,24.060589,0.534903,0.533515438437462,0.5592929720878601,0.627198338508606,4242.0
37,0.4554721713066101,0.4122264087200165,0.62820756,29.94532,0.64680034,18.630136,0.4671802,0.4650249019974753,0.6454622149467468,0.6661975979804993,8678.5
38,0.5014475584030151,0.44714006781578064,0.42559406,64.40433,0.45525968,51.87436,0.7601206,0.7580628856306983,0.43411117792129517,0.46986573934555054,11419.0
39,0.47027313709259033,0.40924307703971863,0.5594183,37.301292,0.5620673,27.768314,0.6568885,0.6554552373431977,0.5763535499572754,0.5879319310188293,5053.0
40,0.5107502341270447,0.42353078722953796,0.5270142,3.2313905,0.53058815,8.864521,0.70805174,0.7070143861430032,0.5518861413002014,0.5436100959777832,8345.0
41,0.4481685757637024,0.43683820962905884,0.61776406,15.9619255,0.62701064,7.866747,0.59346783,0.5923179203555697,0.6331097483634949,0.6426995396614075,10446.0
42,0.43369317054748535,0.4085284173488617,0.66454566,1.1164138,0.69168925,1.3452065,0.4793179,0.47938614941778634,0.6812267899513245,0.7065435647964478,11145.0
43,0.4537263512611389,0.4488300085067749,0.19209726,1.0882708,0.1612515,21.789883,0.6476974,0.6428645911316078,0.2352081835269928,0.22056631743907928,542.0
44,0.6095914244651794,0.47466546297073364,0.053092346,40.202705,0.061703004,128.02197,0.84440523,0.8345786565471263,0.1188369169831276,0.14766082167625427,478.0
45,0.4647832214832306,0.4705083668231964,0.11586207,39.071037,0.124506794,35.781136,1.0297047,1.0298716906635534,0.13910505175590515,0.15545590221881866,1426.5
46,0.48851636052131653,0.45198386907577515,0.29975602,0.25723472,0.31625184,3.6997886,0.7462531,0.7457858292119844,0.34655988216400146,0.36439886689186096,1250.5
47,0.4962800443172455,0.45817723870277405,0.37775496,55.523853,0.37813908,54.298115,1.0488138,1.0472994265811784,0.3856731653213501,0.38832736015319824,8644.5
48,0.5028735995292664,0.45186468958854675,0.48605815,32.34244,0.508765,15.0630665,0.77883786,0.7780646263133912,0.4972577691078186,0.521648645401001,10818.0
49,0.45479273796081543,0.4337487518787384,0.23096664,12.173913,0.22458471,1.0619469,0.5832226,0.5758243164136297,0.32796207070350647,0.2884160876274109,512.5
50,0.4647520184516907,0.4055415689945221,0.6547238,1.8617021,0.6634102,1.9221168,0.59925246,0.597634331101463,0.6671289205551147,0.6797670125961304,8894.0
51,0.4583229422569275,0.42942312359809875,0.31339893,5.324459,0.3042877,10.939907,0.6401624,0.6366524763760113,0.38031017780303955,0.3672424852848053,625.0
52,0.45899492502212524,0.4364517033100128,0.68199545,11.435091,0.6906922,4.900626,0.65109164,0.6507739878836132,0.6873288750648499,0.6949493288993835,15234.0
53,0.3938601315021515,0.4326942265033722,0.72772586,18.6582,0.73849654,5.938007,0.54283124,0.542746038663955,0.7309325933456421,0.7443760633468628,23931.5
54,0.48521849513053894,0.4392903745174408,0.43090537,3.7408152,0.42209858,11.069767,0.73346853,0.7314850978908085,0.47031038999557495,0.45549318194389343,1286.0
55,0.502382218837738,0.4378233253955841,0.40401003,0.108342364,0.39084134,1.3647643,0.75642186,0.7541110678797677,0.45558086037635803,0.44135430455207825,864.5
56,0.4329635798931122,0.44421103596687317,0.63683695,21.128963,0.64784724,15.042756,0.6858411,0.6850425913220359,0.6536427736282349,0.6658464074134827,25262.5
57,0.3959200382232666,0.43125471472740173,0.75062215,7.791554,0.749269,1.8950047,0.49859497,0.4983843366305033,0.7628577947616577,0.7640426158905029,15411.5
58,0.43124011158943176,0.4160361886024475,0.70803404,1.6347142,0.70988137,0.38221687,0.5294605,0.5290677377155849,0.7219268083572388,0.726054847240448,10813.0
59,0.44029703736305237,0.43546736240386963,0.6540284,8.853202,0.64866734,3.3697312,0.56589663,0.5652282919202531,0.669041097164154,0.6641569137573242,9115.5
