,voxelwise_precision,voxelwise_recall,V2dice,V2avd,voxelwise_fpr,best_recall,best_precision,V2GED^2,UEOrecall_0.00,UEOprecision_0.00,UEOrecall_0.01,UEOprecision_0.01,UEOrecall_0.02,UEOprecision_0.02,UEOrecall_0.03,UEOprecision_0.03,UEOrecall_0.04,UEOprecision_0.04,UEOrecall_0.05,UEOprecision_0.05,UEOrecall_0.06,UEOprecision_0.06,UEOrecall_0.07,UEOprecision_0.07,UEOrecall_0.08,UEOprecision_0.08,UEOrecall_0.09,UEOprecision_0.09,UEOrecall_0.10,UEOprecision_0.10,UEOrecall_0.11,UEOprecision_0.11,UEOrecall_0.12,UEOprecision_0.12,UEOrecall_0.13,UEOprecision_0.13,UEOrecall_0.14,UEOprecision_0.14,UEOrecall_0.15,UEOprecision_0.15,UEOrecall_0.16,UEOprecision_0.16,UEOrecall_0.17,UEOprecision_0.17,UEOrecall_0.18,UEOprecision_0.18,UEOrecall_0.19,UEOprecision_0.19,UEOrecall_0.20,UEOprecision_0.20,UEOrecall_0.21,UEOprecision_0.21,UEOrecall_0.22,UEOprecision_0.22,UEOrecall_0.23,UEOprecision_0.23,UEOrecall_0.24,UEOprecision_0.24,UEOrecall_0.25,UEOprecision_0.25,UEOrecall_0.26,UEOprecision_0.26,UEOrecall_0.27,UEOprecision_0.27,UEOrecall_0.28,UEOprecision_0.28,UEOrecall_0.29,UEOprecision_0.29,UEOrecall_0.30,UEOprecision_0.30,UEOrecall_0.31,UEOprecision_0.31,UEOrecall_0.32,UEOprecision_0.32,UEOrecall_0.33,UEOprecision_0.33,UEOrecall_0.34,UEOprecision_0.34,UEOrecall_0.35,UEOprecision_0.35,UEOrecall_0.36,UEOprecision_0.36,UEOrecall_0.37,UEOprecision_0.37,UEOrecall_0.38,UEOprecision_0.38,UEOrecall_0.39,UEOprecision_0.39,UEOrecall_0.40,UEOprecision_0.40,UEOrecall_0.41,UEOprecision_0.41,UEOrecall_0.42,UEOprecision_0.42,UEOrecall_0.43,UEOprecision_0.43,UEOrecall_0.44,UEOprecision_0.44,UEOrecall_0.45,UEOprecision_0.45,UEOrecall_0.46,UEOprecision_0.46,UEOrecall_0.47,UEOprecision_0.47,UEOrecall_0.48,UEOprecision_0.48,UEOrecall_0.49,UEOprecision_0.49,UEOrecall_0.50,UEOprecision_0.50,UEOrecall_0.51,UEOprecision_0.51,UEOrecall_0.52,UEOprecision_0.52,UEOrecall_0.53,UEOprecision_0.53,UEOrecall_0.54,UEOprecision_0.54,UEOrecall_0.55,UEOprecision_0.55,UEOrecall_0.56,UEOprecision_0.56,UEOrecall_0.57,UEOprecision_0.57,UEOrecall_0.58,UEOprecision_0.58,UEOrecall_0.59,UEOprecision_0.59,UEOrecall_0.60,UEOprecision_0.60,UEOrecall_0.61,UEOprecision_0.61,UEOrecall_0.62,UEOprecision_0.62,UEOrecall_0.63,UEOprecision_0.63,UEOrecall_0.64,UEOprecision_0.64,UEOrecall_0.65,UEOprecision_0.65,UEOrecall_0.66,UEOprecision_0.66,UEOrecall_0.67,UEOprecision_0.67,UEOrecall_0.68,UEOprecision_0.68,UEOrecall_0.69,UEOprecision_0.69,voxelwise_trecall_0.00,voxelwise_tfpr_0.00,voxelwise_trecall_0.01,voxelwise_tfpr_0.01,voxelwise_trecall_0.02,voxelwise_tfpr_0.02,voxelwise_trecall_0.03,voxelwise_tfpr_0.03,voxelwise_trecall_0.04,voxelwise_tfpr_0.04,voxelwise_trecall_0.05,voxelwise_tfpr_0.05,voxelwise_trecall_0.06,voxelwise_tfpr_0.06,voxelwise_trecall_0.07,voxelwise_tfpr_0.07,voxelwise_trecall_0.08,voxelwise_tfpr_0.08,voxelwise_trecall_0.09,voxelwise_tfpr_0.09,voxelwise_trecall_0.10,voxelwise_tfpr_0.10,voxelwise_trecall_0.11,voxelwise_tfpr_0.11,voxelwise_trecall_0.12,voxelwise_tfpr_0.12,voxelwise_trecall_0.13,voxelwise_tfpr_0.13,voxelwise_trecall_0.14,voxelwise_tfpr_0.14,voxelwise_trecall_0.15,voxelwise_tfpr_0.15,voxelwise_trecall_0.16,voxelwise_tfpr_0.16,voxelwise_trecall_0.17,voxelwise_tfpr_0.17,voxelwise_trecall_0.18,voxelwise_tfpr_0.18,voxelwise_trecall_0.19,voxelwise_tfpr_0.19,voxelwise_trecall_0.20,voxelwise_tfpr_0.20,voxelwise_trecall_0.21,voxelwise_tfpr_0.21,voxelwise_trecall_0.22,voxelwise_tfpr_0.22,voxelwise_trecall_0.23,voxelwise_tfpr_0.23,voxelwise_trecall_0.24,voxelwise_tfpr_0.24,voxelwise_trecall_0.25,voxelwise_tfpr_0.25,voxelwise_trecall_0.26,voxelwise_tfpr_0.26,voxelwise_trecall_0.27,voxelwise_tfpr_0.27,voxelwise_trecall_0.28,voxelwise_tfpr_0.28,voxelwise_trecall_0.29,voxelwise_tfpr_0.29,voxelwise_trecall_0.30,voxelwise_tfpr_0.30,voxelwise_trecall_0.31,voxelwise_tfpr_0.31,voxelwise_trecall_0.32,voxelwise_tfpr_0.32,voxelwise_trecall_0.33,voxelwise_tfpr_0.33,voxelwise_trecall_0.34,voxelwise_tfpr_0.34,voxelwise_trecall_0.35,voxelwise_tfpr_0.35,voxelwise_trecall_0.36,voxelwise_tfpr_0.36,voxelwise_trecall_0.37,voxelwise_tfpr_0.37,voxelwise_trecall_0.38,voxelwise_tfpr_0.38,voxelwise_trecall_0.39,voxelwise_tfpr_0.39,voxelwise_trecall_0.40,voxelwise_tfpr_0.40,voxelwise_trecall_0.41,voxelwise_tfpr_0.41,voxelwise_trecall_0.42,voxelwise_tfpr_0.42,voxelwise_trecall_0.43,voxelwise_tfpr_0.43,voxelwise_trecall_0.44,voxelwise_tfpr_0.44,voxelwise_trecall_0.45,voxelwise_tfpr_0.45,voxelwise_trecall_0.46,voxelwise_tfpr_0.46,voxelwise_trecall_0.47,voxelwise_tfpr_0.47,voxelwise_trecall_0.48,voxelwise_tfpr_0.48,voxelwise_trecall_0.49,voxelwise_tfpr_0.49,voxelwise_trecall_0.50,voxelwise_tfpr_0.50,voxelwise_trecall_0.51,voxelwise_tfpr_0.51,voxelwise_trecall_0.52,voxelwise_tfpr_0.52,voxelwise_trecall_0.53,voxelwise_tfpr_0.53,voxelwise_trecall_0.54,voxelwise_tfpr_0.54,voxelwise_trecall_0.55,voxelwise_tfpr_0.55,voxelwise_trecall_0.56,voxelwise_tfpr_0.56,voxelwise_trecall_0.57,voxelwise_tfpr_0.57,voxelwise_trecall_0.58,voxelwise_tfpr_0.58,voxelwise_trecall_0.59,voxelwise_tfpr_0.59,voxelwise_trecall_0.60,voxelwise_tfpr_0.60,voxelwise_trecall_0.61,voxelwise_tfpr_0.61,voxelwise_trecall_0.62,voxelwise_tfpr_0.62,voxelwise_trecall_0.63,voxelwise_tfpr_0.63,voxelwise_trecall_0.64,voxelwise_tfpr_0.64,voxelwise_trecall_0.65,voxelwise_tfpr_0.65,voxelwise_trecall_0.66,voxelwise_tfpr_0.66,voxelwise_trecall_0.67,voxelwise_tfpr_0.67,voxelwise_trecall_0.68,voxelwise_tfpr_0.68,voxelwise_trecall_0.69,voxelwise_tfpr_0.69,voxelwise_trecall_0.70,voxelwise_tfpr_0.70,voxelwise_trecall_0.71,voxelwise_tfpr_0.71,voxelwise_trecall_0.72,voxelwise_tfpr_0.72,voxelwise_trecall_0.73,voxelwise_tfpr_0.73,voxelwise_trecall_0.74,voxelwise_tfpr_0.74,voxelwise_trecall_0.75,voxelwise_tfpr_0.75,voxelwise_trecall_0.76,voxelwise_tfpr_0.76,voxelwise_trecall_0.77,voxelwise_tfpr_0.77,voxelwise_trecall_0.78,voxelwise_tfpr_0.78,voxelwise_trecall_0.79,voxelwise_tfpr_0.79,voxelwise_trecall_0.80,voxelwise_tfpr_0.80,voxelwise_trecall_0.81,voxelwise_tfpr_0.81,voxelwise_trecall_0.82,voxelwise_tfpr_0.82,voxelwise_trecall_0.83,voxelwise_tfpr_0.83,voxelwise_trecall_0.84,voxelwise_tfpr_0.84,voxelwise_trecall_0.85,voxelwise_tfpr_0.85,voxelwise_trecall_0.86,voxelwise_tfpr_0.86,voxelwise_trecall_0.87,voxelwise_tfpr_0.87,voxelwise_trecall_0.88,voxelwise_tfpr_0.88,voxelwise_trecall_0.89,voxelwise_tfpr_0.89,voxelwise_trecall_0.90,voxelwise_tfpr_0.90,voxelwise_trecall_0.91,voxelwise_tfpr_0.91,voxelwise_trecall_0.92,voxelwise_tfpr_0.92,voxelwise_trecall_0.93,voxelwise_tfpr_0.93,voxelwise_trecall_0.94,voxelwise_tfpr_0.94,voxelwise_trecall_0.95,voxelwise_tfpr_0.95,voxelwise_trecall_0.96,voxelwise_tfpr_0.96,voxelwise_trecall_0.97,voxelwise_tfpr_0.97,voxelwise_trecall_0.98,voxelwise_tfpr_0.98,voxelwise_trecall_0.99,voxelwise_tfpr_0.99,model_name
0,0.820155,0.796287,0.8080448,2.9101856,0.0004055155,0.8020044,5.26844,0.45681986,1.0,0.0008765811,0.9887268,0.030485187,0.98541117,0.045368504,0.9801061,0.05706784,0.9761273,0.066558145,0.97214854,0.07501407,0.9688329,0.08227741,0.9661804,0.08932075,0.96352786,0.09568653,0.95623344,0.10132097,0.9549072,0.10724659,0.9509284,0.11247941,0.94496024,0.11735156,0.94164455,0.12198265,0.9363395,0.12653464,0.93302387,0.13149533,0.93037134,0.13625328,0.9250663,0.14061083,0.9230769,0.14537859,0.9210875,0.15016216,0.9164456,0.15401761,0.9124668,0.15837938,0.90716183,0.16256684,0.9025199,0.16660546,0.89986736,0.17103605,0.89522547,0.17523365,0.89190984,0.17947692,0.88859415,0.18487859,0.88395226,0.1888102,0.88129973,0.19328098,0.8786472,0.1977612,0.87665784,0.20260537,0.8713528,0.20679887,0.8700265,0.21178369,0.86604774,0.21579643,0.8594164,0.22018349,0.85477453,0.22448625,0.8514589,0.22920385,0.84615386,0.23434344,0.83687,0.23833805,0.8295756,0.24272409,0.82427055,0.2490483,0.81564987,0.25293028,0.811008,0.2581803,0.80503976,0.2633977,0.7990716,0.26855358,0.7871353,0.27237263,0.77785146,0.27665094,0.7698939,0.28193298,0.7586207,0.28693253,0.7506631,0.29250646,0.73541117,0.29731902,0.7234748,0.3038151,0.7075597,0.306962,0.68766576,0.31178594,0.6750663,0.32002515,0.6637931,0.32627118,0.64920425,0.33481532,0.6279841,0.34077007,0.6034483,0.34469697,0.5822281,0.35134053,0.5596817,0.35853866,0.5338196,0.3675799,0.50530505,0.37741455,0.47214854,0.38590786,0.4297082,0.3941606,0.39323607,0.40812114,0.33620688,0.42426777,0.26657826,0.44127333,0.13328913,0.46744186,1.0,1.0,0.9844456,0.006610601,0.9771701,0.004781121,0.97089815,0.003938045,0.9643753,0.0034031838,0.96011037,0.0030343744,0.9563472,0.0027424733,0.952584,0.0025070878,0.9488209,0.0023241397,0.9468138,0.002185472,0.9430507,0.0020421434,0.9405419,0.0019273638,0.9380331,0.0018195759,0.9357752,0.0017339282,0.9330155,0.0016500285,0.930005,0.0015684593,0.9262419,0.001488638,0.9234822,0.0014262958,0.9192173,0.0013622057,0.9152032,0.0013027767,0.91118914,0.0012520873,0.9061716,0.0011984847,0.9034119,0.0011477952,0.89814353,0.0010953579,0.89538383,0.0010545733,0.8918716,0.0010167019,0.8886101,0.0009788305,0.88509786,0.000940959,0.88158554,0.00091299246,0.8790768,0.0008780342,0.87581533,0.0008419107,0.8728048,0.0008069525,0.8697943,0.00077782065,0.86653286,0.00075276726,0.8640241,0.00072130485,0.86001,0.0006939209,0.8554942,0.0006706154,0.8532363,0.0006502231,0.8474661,0.0006280829,0.84395385,0.00060244685,0.83918715,0.00058380247,0.83592576,0.0005628275,0.83216256,0.00054418313,0.8266432,0.00052379083,0.82137483,0.00050805963,0.81660813,0.00049407635,0.81284493,0.00047601457,0.81058705,0.0004591181,0.8060712,0.0004369779,0.8003011,0.00041891614,0.796287,0.0004055155,0.7915203,0.00039153217,0.7875063,0.0003792968,0.78299046,0.00036531352,0.78098345,0.0003478344,0.7767185,0.00033326846,0.7711992,0.00032161572,0.76417464,0.00030588452,0.7599097,0.00029248386,0.7541395,0.00028316167,0.7478675,0.00027209157,0.74159557,0.0002586909,0.73582536,0.0002476208,0.7303061,0.00023596805,0.724285,0.00022897641,0.7192674,0.0002179063,0.71299547,0.00020567092,0.70622176,0.00019460081,0.70045155,0.00018819181,0.6949323,0.00017595643,0.6891621,0.00016838215,0.68138486,0.00015847731,0.6753638,0.00014798985,0.6680883,0.0001363371,0.6590567,0.00012526699,0.65303564,0.0001159448,0.64902157,0.00010895315,0.6409935,9.963096e-05,0.63346714,9.322195e-05,0.6259408,8.098657e-05,0.6179127,7.3994925e-05,0.60913193,6.8751186e-05,0.59683895,6.3507454e-05,0.5883091,5.6515808e-05,0.5757652,4.8358885e-05,0.56547916,4.136724e-05,0.55569494,3.8454054e-05,0.5421475,3.2045045e-05,0.52910185,2.680131e-05,0.51430005,2.2140213e-05,0.4964877,1.7479115e-05,0.4769192,1.0487469e-05,0.4576016,6.991646e-06,0.4345208,5.2437344e-06,0.4109383,4.0784603e-06,0.38459608,2.9131859e-06,0.34972402,5.826372e-07,0.30883092,5.826372e-07,0.23808329,5.826372e-07,0.12769695,0.0,ssn_ens0_cv0
1,0.72156197,0.5157767,0.60155696,28.519419,0.00019084502,0.60597736,0.18203884,0.86760634,1.0,0.0006545294,0.8721137,0.03972974,0.8357016,0.058313195,0.8099467,0.07160804,0.7930728,0.082715824,0.7753108,0.0918754,0.7646536,0.09981451,0.75044405,0.10663806,0.740675,0.113069415,0.73357016,0.12049599,0.72824156,0.12666048,0.7238011,0.13312642,0.72024864,0.13973121,0.71492004,0.146098,0.7078153,0.15157855,0.7015986,0.15668386,0.6909414,0.1621847,0.6838366,0.16699198,0.6758437,0.17158963,0.6642984,0.1762073,0.6598579,0.18246561,0.6474245,0.18630207,0.6394316,0.19062749,0.6332149,0.19555677,0.62699825,0.20073926,0.61545295,0.20406361,0.60568386,0.20799024,0.59769094,0.21223588,0.59236234,0.21818776,0.5781528,0.22082768,0.57104796,0.22569323,0.562167,0.22951414,0.5515098,0.23381025,0.54085255,0.2375195,0.5346359,0.24196142,0.5222025,0.24530663,0.5124334,0.24924406,0.5071048,0.25321507,0.4973357,0.2566453,0.4866785,0.2589792,0.47957373,0.26444662,0.46802843,0.26643074,0.46003553,0.2703549,0.44937834,0.27189684,0.43960923,0.27576602,0.43161634,0.28173912,0.42362344,0.2870036,0.41207814,0.2907268,0.40319717,0.29790026,0.39520428,0.30230978,0.38543516,0.30714792,0.37655416,0.3110785,0.3650089,0.3132622,0.35523978,0.31620553,0.3410302,0.3202669,0.3348135,0.32725695,0.32149202,0.33364055,0.30817053,0.3388672,0.29662523,0.34397528,0.28419182,0.3501094,0.27442273,0.3635294,0.26376554,0.369863,0.25488454,0.3847185,0.23801066,0.39353892,0.21936058,0.39774558,0.20159858,0.40827337,0.1758437,0.4099379,0.14564832,0.41102758,0.10568383,0.42805755,0.047957372,0.43548387,1.0,1.0,0.7967233,0.0030762122,0.76031554,0.0021888993,0.7360437,0.0017554251,0.723301,0.0014871948,0.7032767,0.0012916949,0.69174755,0.0011555434,0.68143207,0.0010479022,0.67111653,0.0009536433,0.66444176,0.00088149455,0.6529126,0.00082272827,0.6468447,0.0007738533,0.64320385,0.00073370605,0.6359223,0.00070112274,0.63228154,0.00065922993,0.6256068,0.0006196645,0.6201456,0.00058940856,0.61529124,0.0005626437,0.6080097,0.000542861,0.60376215,0.00052366016,0.59951454,0.0005038774,0.5964806,0.0004870039,0.5934466,0.00046489382,0.592233,0.0004439474,0.5916262,0.00042474654,0.58798546,0.00040845491,0.5843447,0.00039216326,0.5813107,0.00037878082,0.5776699,0.00037005317,0.5746359,0.00035783442,0.5716019,0.00034445198,0.5703884,0.00033514248,0.5673544,0.00032583298,0.565534,0.00031652345,0.5631068,0.000310705,0.5576456,0.0003037229,0.5503641,0.00029732258,0.5479369,0.0002897586,0.54611653,0.00028335833,0.5449029,0.00027579433,0.5418689,0.00026706667,0.5376214,0.00025892083,0.5345874,0.00024612027,0.5291262,0.0002414655,0.52730584,0.00023157414,0.5248786,0.00022284647,0.5236651,0.00021819172,0.52245146,0.00021120958,0.5200243,0.0002048093,0.51941746,0.00019957269,0.5157767,0.00019084502,0.51334953,0.00018560843,0.5121359,0.00018037182,0.50970876,0.00017571707,0.50667477,0.0001710623,0.5048544,0.00016815308,0.5018204,0.00016117094,0.5,0.00015709804,0.49514562,0.00015186144,0.49211165,0.00014895221,0.48725727,0.0001448793,0.48179612,0.00013498795,0.47694173,0.00013033318,0.47148058,0.0001280058,0.4690534,0.00012160552,0.46541262,0.000118114454,0.46055827,0.00011404154,0.45752427,0.00010996863,0.44599515,0.00010764125,0.44114077,0.0001018228,0.43446603,9.891358e-05,0.42839807,9.774989e-05,0.4241505,9.484067e-05,0.41626215,9.13496e-05,0.40958738,8.844038e-05,0.40412623,8.494931e-05,0.40169904,8.029455e-05,0.39320388,7.6221644e-05,0.38531554,7.098504e-05,0.38046116,6.749397e-05,0.3725728,6.342106e-05,0.36407766,6.1093684e-05,0.35497573,5.934815e-05,0.35012135,5.4111548e-05,0.345267,5.0620478e-05,0.33616504,4.7711255e-05,0.33009708,4.3056498e-05,0.31614077,4.1310966e-05,0.30036408,3.6074365e-05,0.28944173,3.432883e-05,0.27791262,2.792854e-05,0.2663835,2.3273784e-05,0.2506068,1.9782716e-05,0.24029127,1.6873493e-05,0.23058252,7.5639796e-06,0.21359223,5.2366013e-06,0.19417475,3.4910674e-06,0.17415048,5.818446e-07,0.13713592,0.0,0.07463592,0.0,ssn_ens0_cv0
2,0.916567,0.6538199,0.7632129,28.66644,0.00020356312,0.8325053,2.5068212,0.48853585,1.0,0.0013828822,1.0,0.05201819,0.99915934,0.07667989,0.9953762,0.09454981,0.9907524,0.10827323,0.9869693,0.1196677,0.9819252,0.12951875,0.97898275,0.1383263,0.97730136,0.14660445,0.97604036,0.15375447,0.97393864,0.16047929,0.97141653,0.16714884,0.9680538,0.1730538,0.96637243,0.17944115,0.9638504,0.18568306,0.9604876,0.19151789,0.9571248,0.19661514,0.95418245,0.20298667,0.95250106,0.20859799,0.94661623,0.21299537,0.94199246,0.21848494,0.9369483,0.22381765,0.93400586,0.2291903,0.9277007,0.23438828,0.9205549,0.23887435,0.91467005,0.2440009,0.9104666,0.249252,0.9041614,0.25359586,0.8991173,0.25805286,0.8919714,0.2622343,0.889029,0.2679929,0.8844052,0.273994,0.87810004,0.27816245,0.8722152,0.2825051,0.8654897,0.28769037,0.8579235,0.2924069,0.8482556,0.29645953,0.84405214,0.30145624,0.8373266,0.306226,0.82765865,0.31002992,0.8175704,0.31482682,0.8091635,0.31923714,0.7948718,0.32165334,0.7839428,0.32576418,0.7730139,0.3298655,0.7641866,0.334007,0.7553594,0.3384818,0.74358976,0.34369534,0.7313998,0.34932745,0.7208911,0.35404626,0.70786047,0.35837412,0.69819254,0.3643343,0.68558216,0.3696736,0.6683481,0.37447008,0.6527953,0.379243,0.6338798,0.38557914,0.6124422,0.39051193,0.59016395,0.392398,0.57419086,0.3975553,0.55443466,0.4034873,0.53047496,0.4130933,0.5065153,0.42147604,0.47877258,0.42627245,0.44892812,0.429088,0.41361916,0.4344371,0.36906263,0.43768695,0.32955024,0.44621515,0.284153,0.45247656,0.22026062,0.45924628,0.1063472,0.45585585,1.0,1.0,0.9860164,0.0055632805,0.970839,0.0038857807,0.9571965,0.0030843604,0.94611186,0.0025833268,0.9367326,0.0022496933,0.9293997,0.0019860526,0.9207026,0.0017999879,0.9125171,0.0016506694,0.9075716,0.0015118498,0.9000682,0.0013946114,0.8922237,0.0012942881,0.8865962,0.0012038804,0.8782401,0.0011344707,0.86903137,0.0010668107,0.86186904,0.0010020671,0.85624146,0.0009542385,0.8487381,0.00089707755,0.8420873,0.0008463326,0.83492494,0.0008060866,0.8296385,0.00076875696,0.8240109,0.00073142734,0.8197476,0.00069526426,0.8122442,0.0006666838,0.8069577,0.00063635345,0.8011596,0.0006136057,0.7934857,0.0005856085,0.78649384,0.00055119523,0.77950203,0.00052669767,0.77387446,0.0004987005,0.7675648,0.00047945237,0.7621078,0.00046370394,0.75477487,0.00044912205,0.7469304,0.00042637432,0.74130285,0.00040595967,0.7360164,0.00038729486,0.7315825,0.0003721297,0.7256139,0.00035696453,0.7218622,0.00034763213,0.7167463,0.00033480008,0.7118008,0.00031613527,0.7046385,0.00030563632,0.69815826,0.00028755478,0.69287175,0.00027763908,0.6855389,0.0002677234,0.68059343,0.00025255824,0.67564803,0.00023914292,0.66933835,0.0002321436,0.6643929,0.00022164464,0.6601296,0.00021172897,0.6538199,0.00020356312,0.6458049,0.00019539725,0.638472,0.00018606485,0.6314802,0.00017964882,0.62534106,0.00017498262,0.62022513,0.00016740004,0.6147681,0.00015748436,0.6094816,0.0001539847,0.60436565,0.00014990178,0.59856755,0.0001423192,0.59328103,0.000137653,0.5871419,0.00013182024,0.58066165,0.00012598748,0.57315826,0.00012423766,0.5682128,0.000117821626,0.56343794,0.00010848922,0.5581514,0.0001067394,0.5528649,0.000102073194,0.54604363,9.799027e-05,0.5409277,9.274079e-05,0.5344475,8.924113e-05,0.52899045,8.690803e-05,0.5218281,7.990873e-05,0.5153479,7.58258e-05,0.50596863,7.11596e-05,0.5001705,6.7659945e-05,0.49113232,6.357702e-05,0.4834584,6.2410465e-05,0.47493178,5.7744262e-05,0.46640518,5.424461e-05,0.45719644,5.074496e-05,0.44696453,4.6662033e-05,0.43587995,4.4912205e-05,0.42530695,4.2579104e-05,0.41439292,3.79129e-05,0.40245566,3.55798e-05,0.3871078,3.208015e-05,0.37431788,2.6247393e-05,0.36272168,2.1581189e-05,0.34720328,1.6914986e-05,0.33168486,1.516516e-05,0.31497273,1.3415334e-05,0.29723737,9.915681e-06,0.27523875,8.749131e-06,0.24880628,6.4160295e-06,0.2143588,4.666203e-06,0.1744543,2.3331015e-06,0.12193042,0.0,0.064120054,0.0,0.011255116,0.0,ssn_ens0_cv0
3,0.83196115,0.67241085,0.74372524,19.177614,0.0004642864,0.75404584,2.4227948,0.58535385,1.0,0.001578776,0.99815905,0.04304336,0.994109,0.062136102,0.9900589,0.077437006,0.98269516,0.09076996,0.9771723,0.102018066,0.9712813,0.11248987,0.96575844,0.12171129,0.9620766,0.13109572,0.95692194,0.13918492,0.9525037,0.14744942,0.9480854,0.15502709,0.9425626,0.16212793,0.937408,0.16930443,0.93114877,0.176151,0.92415315,0.18210839,0.9156848,0.18768395,0.90868926,0.19329573,0.9005891,0.19850674,0.8946981,0.2034324,0.88880706,0.20830098,0.8803387,0.21296874,0.8685567,0.2169395,0.85861564,0.22133636,0.84756994,0.22487056,0.8368925,0.22841926,0.828056,0.23255092,0.82253313,0.23712982,0.8162739,0.24134552,0.8100147,0.24594745,0.8004418,0.24985634,0.7938144,0.2545154,0.7827688,0.25826046,0.775405,0.2624299,0.7665685,0.26613832,0.7562592,0.2692711,0.74558175,0.27272728,0.7345361,0.27608636,0.724595,0.28026202,0.7124448,0.2833504,0.705081,0.28749436,0.6936672,0.28980157,0.68151695,0.2932045,0.6682621,0.2972486,0.65758467,0.3006734,0.64911634,0.30528137,0.640648,0.30900374,0.6314433,0.31370038,0.6181885,0.31691206,0.6082474,0.3212133,0.5968336,0.32615694,0.58505154,0.33049086,0.570324,0.33499134,0.5563328,0.33863738,0.5452872,0.34449872,0.5301915,0.34993926,0.51804125,0.356654,0.5062592,0.36472148,0.49116346,0.37138084,0.47827688,0.37927008,0.45913106,0.3842835,0.4421944,0.38917693,0.42120767,0.3961219,0.39985272,0.40341753,0.37776142,0.41538462,0.3460972,0.42457092,0.31443298,0.43862352,0.26730487,0.45318353,0.20655376,0.464404,0.10530192,0.48556876,1.0,1.0,0.9701416,0.00725535,0.95171475,0.0050202427,0.9372121,0.004085837,0.92441565,0.0035346427,0.912131,0.003129267,0.9020645,0.0028323804,0.89131546,0.002612486,0.8815902,0.0024030905,0.87340045,0.0022467729,0.86452824,0.0021161195,0.8563385,0.001983133,0.84849,0.0018734772,0.8420065,0.0017801534,0.83757037,0.0016938287,0.8322812,0.0016185864,0.8273332,0.0015544262,0.8218734,0.0014885162,0.8179492,0.0014272725,0.8141955,0.0013736112,0.80907696,0.0013170335,0.8051527,0.0012610392,0.8015697,0.0012044616,0.7957686,0.0011583829,0.79133254,0.0011111377,0.7863846,0.0010697253,0.78246033,0.0010358953,0.7773417,0.0010014821,0.77290565,0.000969402,0.7698345,0.0009437379,0.7652278,0.00091399095,0.7616448,0.0008836607,0.7589149,0.00085391366,0.7546494,0.0008235834,0.749872,0.0007926699,0.74390036,0.00077050546,0.7399761,0.00074075843,0.73349255,0.0007150944,0.7285446,0.0006940965,0.724791,0.0006713488,0.7205255,0.0006509342,0.7152363,0.0006281865,0.7101177,0.0006095217,0.70704657,0.0005891071,0.7020986,0.0005710256,0.69715065,0.00055002776,0.6913496,0.00053486263,0.686231,0.0005156145,0.68298924,0.00049753307,0.6780413,0.00048120136,0.67241085,0.0004642864,0.6689985,0.00044620488,0.664733,0.00043337286,0.65927315,0.00041820772,0.6541546,0.00040420913,0.6498891,0.00038554435,0.6456236,0.00037037922,0.6384576,0.00035579735,0.63197404,0.00034529844,0.6258318,0.00033129985,0.6217369,0.00031671798,0.61764205,0.00030388596,0.6142297,0.00029280374,0.60825795,0.00028172153,0.60194504,0.00027122258,0.59648526,0.00026014037,0.5908548,0.000250808,0.58505374,0.0002391425,0.5802764,0.00022747701,0.573281,0.00021114532,0.56560314,0.00020122966,0.55860776,0.00018723107,0.5531479,0.00017789868,0.54547006,0.00017206593,0.5389865,0.00016273354,0.5333561,0.00015340115,0.5238014,0.00014756841,0.5157823,0.00013823602,0.50656885,0.00012890363,0.49701416,0.00012190434,0.48882443,0.00011548833,0.48097596,0.00010615594,0.4715919,9.624027e-05,0.46237844,8.924098e-05,0.45282376,7.990859e-05,0.44224536,6.649328e-05,0.43081385,6.2410356e-05,0.42194164,5.7160887e-05,0.40863335,5.0161598e-05,0.3968606,4.2579028e-05,0.37877494,3.0913543e-05,0.36410168,2.5080799e-05,0.34857532,2.0414604e-05,0.32724792,1.4581859e-05,0.3050674,1.2248762e-05,0.27657396,7.582567e-06,0.24193823,2.3330974e-06,0.19808906,1.7498231e-06,0.1349599,5.8327436e-07,0.04504351,0.0,ssn_ens0_cv0
