,gt_vols,best_dice_ss2,best_avd_ss2,best_dice_dsorted_ss2,GED^2_ss2,sUEO_ss2,best_dice_ss3,best_avd_ss3,best_dice_dsorted_ss3,GED^2_ss3,sUEO_ss3,best_dice_ss5,best_avd_ss5,best_dice_dsorted_ss5,GED^2_ss5,sUEO_ss5,best_dice_ss7,best_avd_ss7,best_dice_dsorted_ss7,GED^2_ss7,sUEO_ss7,best_dice_ss10,best_avd_ss10,best_dice_dsorted_ss10,GED^2_ss10,sUEO_ss10,best_dice_ss15,best_avd_ss15,best_dice_dsorted_ss15,GED^2_ss15,sUEO_ss15,best_dice_ss20,best_avd_ss20,best_dice_dsorted_ss20,GED^2_ss20,sUEO_ss20,best_dice_ss25,best_avd_ss25,best_dice_dsorted_ss25,GED^2_ss25,sUEO_ss25,best_dice_ss30,best_avd_ss30,best_dice_dsorted_ss30,GED^2_ss30,sUEO_ss30,best_dice_ss35,best_avd_ss35,best_dice_dsorted_ss35,GED^2_ss35,sUEO_ss35,best_dice_ss40,best_avd_ss40,best_dice_dsorted_ss40,GED^2_ss40,sUEO_ss40,best_dice_ss45,best_avd_ss45,best_dice_dsorted_ss45,GED^2_ss45,sUEO_ss45,best_dice_ss50,best_avd_ss50,best_dice_dsorted_ss50,GED^2_ss50,sUEO_ss50,model_name
0,3986.0,0.723108,21.52534,0.7626411318778992,0.45241117,0.43179113,0.7644989,7.501254,0.7820719480514526,0.5154902,0.4483825,0.7587629,5.3186154,0.782347559928894,0.5303945,0.43024075,0.7432432,3.2112393,0.7970141172409058,0.5560176,0.43628275,0.76223487,2.985449,0.7965131402015686,0.554314,0.43282065,0.7629086,1.4049172,0.8031027913093567,0.578453,0.4401375,0.75547695,0.50175613,0.8004701137542725,0.56643414,0.43056592,0.7598219,0.47666836,0.8048180341720581,0.58016944,0.43918544,0.7550615,0.7275464,0.8086364269256592,0.57883084,0.4348878,0.7563969,0.42649275,0.8107543587684631,0.57629514,0.43984956,0.76379335,0.6773708,0.8098610043525696,0.5728635,0.43736264,0.7538481,0.47666836,0.8143135905265808,0.5764688,0.4383553,0.7583143,0.15052684,0.8113842010498047,0.5740168,0.4380781,ssn_ens0_cv0
1,1648.0,0.4294846,5.461165,0.5046682953834534,0.96150213,0.44390413,0.4646005,13.410194,0.5118582248687744,1.0669768,0.4502246,0.4451827,6.067961,0.5443625450134277,1.0777458,0.45601746,0.4743477,6.9781556,0.5454545617103577,1.0796876,0.44023463,0.46875,1.2135922,0.5601317882537842,1.0885028,0.45063037,0.46547756,2.8519418,0.5805191397666931,1.0878308,0.44618118,0.47324994,1.2135922,0.5887167453765869,1.0796723,0.4444004,0.4634747,1.1529126,0.587652862071991,1.0906789,0.44018862,0.46706277,2.3058252,0.5974540114402771,1.0966833,0.44201353,0.4684224,1.5169903,0.5931515097618103,1.1050239,0.44699392,0.4761142,0.4854369,0.608769953250885,1.0950081,0.44549018,0.47161573,1.0922331,0.6134529113769531,1.1011403,0.4443176,0.4770897,1.1529126,0.6011456251144409,1.09565,0.44307113,ssn_ens0_cv0
2,5864.0,0.73991257,2.8649385,0.7881302237510681,0.44957674,0.4663802,0.78532904,5.5081854,0.8166870474815369,0.4803414,0.50804627,0.78075695,1.0402455,0.8277819752693176,0.510407,0.48470998,0.7870385,0.6480218,0.8415020108222961,0.53794515,0.5008735,0.8088656,4.9795365,0.8602169156074524,0.5364593,0.49785653,0.7820744,1.074352,0.8519605994224548,0.5576518,0.48862517,0.800743,1.978172,0.8542495965957642,0.5605173,0.49923402,0.8003032,1.2448841,0.8587906360626221,0.56654817,0.49294555,0.7827468,0.051159617,0.8507869243621826,0.572235,0.49120235,0.79671055,0.88676673,0.8685822486877441,0.5630293,0.49672922,0.7915668,0.03410641,0.8579674363136292,0.57305354,0.49160245,0.8055278,0.6480218,0.8632778525352478,0.569858,0.49250033,0.7876382,0.085266024,0.8645806312561035,0.5715717,0.4956288,ssn_ens0_cv0
3,5861.0,0.7586267,4.6920323,0.7755844593048096,0.48805445,0.46767378,0.76406807,5.186828,0.7903640270233154,0.5218485,0.47083613,0.7562842,3.0029004,0.78667151927948,0.5957782,0.47953215,0.77047247,3.4123871,0.8144237399101257,0.56067556,0.467757,0.7647319,2.593414,0.8063170909881592,0.5786852,0.46940288,0.7602119,2.1839275,0.8226925730705261,0.5845463,0.47265056,0.77382696,1.825627,0.8184329867362976,0.57726675,0.47105795,0.7730126,1.296707,0.8228307962417603,0.5864892,0.46894273,0.77955383,1.05784,0.8369821310043335,0.575614,0.47746718,0.76864725,1.1602116,0.8245552778244019,0.58057415,0.4719642,0.7823809,0.90428257,0.8346836566925049,0.576412,0.4731648,0.7720865,0.08530967,0.8314352631568909,0.5849395,0.47160402,0.7737561,1.0237161,0.8303824067115784,0.5810572,0.46966338,ssn_ens0_cv0
4,12240.0,0.6550627,30.555555,0.6573610305786133,0.7676215,0.3991689,0.66195,21.013073,0.6794584393501282,0.77774453,0.39111984,0.6513459,21.535948,0.6842079758644104,0.82551485,0.39083752,0.66502887,20.416666,0.6812276244163513,0.8490229,0.38847655,0.66313964,8.937909,0.691217839717865,0.8328551,0.3930424,0.675867,17.663399,0.7141638398170471,0.8590888,0.3929536,0.68832225,13.480392,0.7155621647834778,0.8485047,0.39122128,0.6725114,5.751634,0.7254477739334106,0.8391477,0.39922124,0.67472273,10.694445,0.7150197625160217,0.85312635,0.393694,0.67797416,7.941177,0.7189663052558899,0.8560877,0.3953099,0.67322016,3.0718954,0.739989161491394,0.84981453,0.39537814,0.6765975,2.9166667,0.7214757204055786,0.85186404,0.39271557,0.6984695,0.91503274,0.7431748509407043,0.8507227,0.39840153,ssn_ens0_cv0
5,20444.0,0.83694565,14.4883585,0.8412147164344788,0.41545635,0.47325408,0.8341903,10.6975155,0.8478277921676636,0.44236726,0.48428753,0.8391272,8.780083,0.8456968665122986,0.46642116,0.47166812,0.8532682,3.795735,0.8677039742469788,0.44910607,0.49016243,0.84951174,5.1408725,0.8716942071914673,0.4646571,0.49043795,0.8521254,0.009782821,0.8802903890609741,0.46235317,0.49340487,0.85257506,1.6092741,0.8768136501312256,0.4672577,0.48957655,0.8505781,4.143025,0.8849673271179199,0.4674883,0.4897123,0.84876615,1.9223245,0.8802945613861084,0.46562284,0.4885352,0.848537,0.1369595,0.8821962475776672,0.46719697,0.48537466,0.85190296,1.6337311,0.8732101321220398,0.47030425,0.4879904,0.8516896,0.20543925,0.8855608105659485,0.46865255,0.4924002,0.8504664,1.0614362,0.8909045457839966,0.46897313,0.4897692,ssn_ens0_cv0
6,6033.0,0.76611966,0.0,0.7775876522064209,0.5219271,0.47658294,0.7557433,7.9230895,0.7933263182640076,0.5367425,0.46964163,0.7765501,1.0276811,0.8059110045433044,0.5465882,0.47923344,0.7682302,3.895243,0.7982213497161865,0.55541354,0.47564787,0.77751017,0.41438755,0.8068556189537048,0.56581104,0.47433636,0.7794743,1.3426156,0.8116427063941956,0.57655036,0.47634876,0.7734439,0.5469915,0.8177412748336792,0.5720693,0.47927216,0.7732515,0.21548152,0.8169761300086975,0.5743934,0.47898403,0.77434945,0.41438755,0.8190276026725769,0.5748595,0.4768267,0.7732214,0.21548152,0.8124637603759766,0.57853407,0.4783583,0.77964383,0.06630201,0.8201512098312378,0.5772198,0.47684267,0.7747077,0.69617105,0.8229926824569702,0.5716405,0.47653726,0.77528733,0.165755,0.8183625936508179,0.5805688,0.47691292,ssn_ens0_cv0
7,5462.0,0.73718727,56.84731,0.7357168197631836,0.6670913,0.48724392,0.77081776,44.928596,0.7698163986206055,0.67902243,0.4947011,0.764235,42.438667,0.7655002474784851,0.71285444,0.50263935,0.7838575,28.1948,0.7925000190734863,0.69771594,0.49232244,0.7692185,29.110218,0.7854750156402588,0.71613735,0.47680888,0.79767764,27.041376,0.8012514710426331,0.7194192,0.48639125,0.7968982,21.933357,0.8141494393348694,0.72040516,0.48816136,0.803743,19.132187,0.815546452999115,0.70802236,0.48635018,0.80761456,17.35628,0.821316123008728,0.70752454,0.49048185,0.7909304,15.854998,0.8127214312553406,0.72092,0.49249068,0.80249375,20.248993,0.8141279220581055,0.726023,0.49012032,0.80299336,10.399121,0.8283520936965942,0.7200985,0.4912976,0.8083169,13.090444,0.8274897336959839,0.720239,0.49081126,ssn_ens0_cv0
8,381.0,0.15306593,369.29132,0.15257911384105682,1.3778177,0.43978855,0.17264691,304.7244,0.15782983601093292,1.3877599,0.41580302,0.17332584,266.4042,0.17297802865505219,1.4300091,0.42719135,0.19401042,203.1496,0.21064426004886627,1.3984867,0.45225945,0.19815995,170.86615,0.22721749544143677,1.4406257,0.44698167,0.19491525,171.65355,0.22350896894931793,1.4557431,0.44926283,0.18339351,163.51706,0.225134015083313,1.4527403,0.4446802,0.1934184,150.3937,0.237808957695961,1.4368755,0.44772568,0.21714285,121.52231,0.2400975078344345,1.452871,0.44829428,0.20367534,142.78215,0.24105960130691528,1.4622138,0.44716266,0.22761506,113.64829,0.26553672552108765,1.4486371,0.450183,0.20158388,123.35959,0.2540809214115143,1.4574605,0.44782645,0.20862068,104.461945,0.26359832286834717,1.4528443,0.44553685,ssn_ens0_cv0
9,4850.0,0.7413947,7.958763,0.7812126278877258,0.47097987,0.4551569,0.7669203,5.938144,0.8072195053100586,0.5077659,0.4676017,0.7749269,9.5463915,0.8165847063064575,0.49689862,0.45042276,0.77563924,2.7422678,0.813737154006958,0.52441454,0.45421535,0.77275556,1.1134021,0.8189817070960999,0.5113945,0.45619082,0.78330797,1.0309278,0.8279646635055542,0.5204346,0.45870703,0.7746452,0.7835052,0.8293858170509338,0.5313591,0.45450962,0.7835533,1.0309278,0.8275655508041382,0.52890897,0.4594371,0.7841572,0.6597938,0.836513340473175,0.53206295,0.4609091,0.78268397,0.6185567,0.84223473072052,0.53017527,0.45700336,0.78490645,0.53608245,0.8401919603347778,0.52357817,0.45880577,0.78751767,0.26804122,0.8370723724365234,0.5365646,0.46139035,0.7823254,0.185567,0.8395285606384277,0.53079695,0.45545006,ssn_ens0_cv0
