,gt_vols,best_dice_ss2,best_avd_ss2,best_dice_dsorted_ss2,GED^2_ss2,sUEO_ss2,best_dice_ss3,best_avd_ss3,best_dice_dsorted_ss3,GED^2_ss3,sUEO_ss3,best_dice_ss5,best_avd_ss5,best_dice_dsorted_ss5,GED^2_ss5,sUEO_ss5,best_dice_ss7,best_avd_ss7,best_dice_dsorted_ss7,GED^2_ss7,sUEO_ss7,best_dice_ss10,best_avd_ss10,best_dice_dsorted_ss10,GED^2_ss10,sUEO_ss10,best_dice_ss15,best_avd_ss15,best_dice_dsorted_ss15,GED^2_ss15,sUEO_ss15,best_dice_ss20,best_avd_ss20,best_dice_dsorted_ss20,GED^2_ss20,sUEO_ss20,best_dice_ss25,best_avd_ss25,best_dice_dsorted_ss25,GED^2_ss25,sUEO_ss25,best_dice_ss30,best_avd_ss30,best_dice_dsorted_ss30,GED^2_ss30,sUEO_ss30,model_name
0,21341.0,0.86487585,7.5675926,0.8656023144721985,0.44412577,0.50604963,0.8651751,7.3473597,0.866203248500824,0.45062682,0.50586796,0.8652716,7.356731,0.8664484620094299,0.45175612,0.50607586,0.86520463,7.253643,0.8667749762535095,0.4517449,0.5060446,0.8654712,7.2114706,0.8670308589935303,0.45282808,0.5060418,0.8653211,7.084954,0.8676460385322571,0.4528664,0.50606346,0.8654799,7.155241,0.8674312829971313,0.452809,0.5060415,0.86580515,6.995923,0.8678222894668579,0.45327199,0.5060391,0.8654915,7.084954,0.867634117603302,0.4534803,0.50604784,ind_cv3
1,2944.0,0.6821122,25.78125,0.6849684715270996,0.91706914,0.46915033,0.68293417,25.50951,0.6861094236373901,0.928211,0.46909946,0.6824416,25.37364,0.6862980723381042,0.9292136,0.4691232,0.6822682,25.339676,0.6879687905311584,0.92963874,0.46910155,0.68297076,24.762228,0.6879687905311584,0.9302576,0.46914557,0.6836167,24.72826,0.6887954473495483,0.93250376,0.46918014,0.6835022,24.62636,0.6887019276618958,0.93259823,0.4691524,0.68281674,24.694294,0.6898620128631592,0.9324744,0.46915582,0.6839237,24.388588,0.6888253688812256,0.93215567,0.4691462,ind_cv3
2,2388.0,0.73905796,0.67001677,0.7425224781036377,0.7756063,0.46510404,0.73910296,0.083752096,0.7426408529281616,0.78913677,0.46505377,0.73856485,0.12562814,0.7420435547828674,0.790005,0.4651303,0.7382747,0.0,0.7438743710517883,0.78943944,0.4651019,0.73897594,0.083752096,0.7436489462852478,0.79125077,0.46511588,0.7394781,0.083752096,0.745591938495636,0.7921244,0.46511757,0.7394144,0.0,0.7468008995056152,0.79155666,0.46511233,0.7407407,0.041876048,0.7486361861228943,0.79042405,0.46509182,0.73973763,0.041876048,0.7474789619445801,0.7918374,0.46510807,ind_cv3
3,2204.0,0.5912487,29.945553,0.5958244204521179,1.0926372,0.48282203,0.5929274,29.355717,0.5973262190818787,1.1041652,0.48277125,0.5955414,29.038113,0.6006935238838196,1.1018364,0.48277226,0.59618443,28.76588,0.6014957427978516,1.1060008,0.48275745,0.5957109,28.629765,0.6048623919487,1.1042256,0.48281464,0.59646344,28.0853,0.6046013832092285,1.1074567,0.48281667,0.5969753,28.221416,0.6052350401878357,1.1078076,0.48282668,0.5974095,28.357533,0.6050734519958496,1.1073495,0.48281473,0.59915614,27.949184,0.6082776784896851,1.1054131,0.48282108,ind_cv3
4,25277.0,0.8577334,0.9692606,0.8588223457336426,0.46536094,0.5025996,0.8581751,0.8861811,0.8591369390487671,0.47118995,0.50253844,0.85797,0.8861811,0.8596077561378479,0.4723852,0.5025649,0.85847104,0.8426633,0.8601892590522766,0.47222564,0.5025868,0.85895085,0.68441665,0.8603119254112244,0.47240508,0.5025903,0.8588444,0.61716187,0.8609488010406494,0.4733422,0.50257194,0.8587675,0.57364404,0.8609308004379272,0.47357467,0.50258446,0.85872436,0.5063892,0.8609180450439453,0.47327292,0.50260305,0.8587061,0.549907,0.8611843585968018,0.4736349,0.5026009,ind_cv3
5,7761.0,0.76794773,14.598635,0.7697235345840454,0.7149206,0.4906283,0.7678014,14.160546,0.7699373960494995,0.72198397,0.4906537,0.7681752,14.083237,0.7713173031806946,0.72343075,0.49062434,0.7685153,13.993043,0.7718615531921387,0.7240976,0.49064058,0.769156,13.941503,0.7718737125396729,0.72458535,0.49064606,0.7696139,13.761113,0.7741172909736633,0.7247384,0.4906297,0.7694974,13.619378,0.7734445333480835,0.72423494,0.49062988,0.76905936,13.490529,0.7738392949104309,0.7253962,0.4906345,0.7691024,13.516299,0.7743504047393799,0.72489685,0.49063733,ind_cv3
6,11348.0,0.7336683,13.940783,0.7347862124443054,0.80559283,0.4954595,0.7339608,14.01128,0.7356992959976196,0.8133015,0.4955381,0.7344265,13.887909,0.7363748550415039,0.812369,0.4954013,0.73499304,13.738103,0.736785888671875,0.813734,0.49541155,0.7349105,13.755729,0.737508237361908,0.8137335,0.49545074,0.7342479,13.623546,0.7378919720649719,0.8142537,0.4954701,0.73500985,13.579485,0.7380179762840271,0.81444097,0.49546018,0.73471063,13.5178,0.7379573583602905,0.8150504,0.49545616,0.73483264,13.482552,0.7386321425437927,0.81481147,0.4954578,ind_cv3
7,1419.0,0.61648446,32.417194,0.6183044910430908,1.0644239,0.4048043,0.6158382,32.699085,0.6206019520759583,1.0675718,0.40471923,0.6135792,31.853416,0.6194915175437927,1.0759372,0.40470588,0.6155136,31.92389,0.6221470832824707,1.070295,0.4047876,0.61531985,31.642002,0.6235194802284241,1.0758196,0.40479285,0.61410093,31.078226,0.6224101185798645,1.0766389,0.40478313,0.6148677,31.21917,0.6232557892799377,1.0772005,0.40477702,0.61589956,31.078226,0.6257928013801575,1.0767789,0.40477613,0.61557686,30.796333,0.6248941421508789,1.0764296,0.40477598,ind_cv3
8,1440.0,0.47399908,49.09722,0.47689464688301086,1.3380138,0.43659976,0.47658402,48.75,0.4785219430923462,1.3440231,0.43637508,0.4764086,48.40278,0.47996315360069275,1.3385352,0.43657655,0.4759285,48.541668,0.48014774918556213,1.3459123,0.43652764,0.47697973,48.125,0.48202764987945557,1.3428849,0.43660724,0.47588426,48.26389,0.4819611608982086,1.3426683,0.43659997,0.47588426,48.194443,0.48314088582992554,1.3449599,0.4365982,0.47623444,47.708332,0.48314088582992554,1.3449373,0.43656597,0.47772163,48.055557,0.48451223969459534,1.3454118,0.43659556,ind_cv3
9,4750.0,0.65108997,10.336843,0.6533066034317017,0.9770801,0.4595718,0.6502683,10.294737,0.6533704996109009,0.99189985,0.45936504,0.65146655,9.789474,0.6545050144195557,0.992333,0.4596327,0.65114194,9.747368,0.6567928791046143,0.9917724,0.45958436,0.6528336,9.663157,0.6573208570480347,0.9921617,0.4595824,0.6519883,9.515789,0.657066285610199,0.9936319,0.45956835,0.651261,9.136842,0.6570220589637756,0.99344623,0.4595847,0.6534276,9.136842,0.6580616235733032,0.9936566,0.45956782,0.6519472,9.157894,0.6582813858985901,0.99395317,0.4595804,ind_cv3
